Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2011 State Total,2010 State Total
Semillon ,WHITE,61.40,226.00,437.00,688.60,0.00,45.00,58.50,39.80,106.60,91.00,1576.20,0.00,1684.20,0.00,3.30,2.30,1500.90,6520.80,6525.00
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.50,1.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,6.00,7.30
Sylvaner ,WHITE,0.00,0.00,3.50,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,15.40
Symphony ,WHITE,0.00,0.00,0.30,0.00,76.00,0.00,0.00,0.00,158.90,41.70,2775.80,11658.90,3751.90,1678.40,0.00,0.00,751.30,20893.20,12126.20
Tocai Friulano ,WHITE,11.80,0.00,2.20,5.90,0.00,0.00,11.20,9.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.10,121.30
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,0.00,0.00,0.00,0.00,0.00,18.60,20.80
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,816.50,24941.00,0.00,0.00,0.00,0.00,25757.50,29924.60
Verdelho ,WHITE,2.40,0.00,0.00,2.60,11.20,3.90,0.90,20.00,3.70,28.10,681.80,0.00,7.60,0.00,0.00,3.10,112.60,877.90,766.20
Vermentino * ,WHITE,0.00,1.80,20.80,3.40,0.00,0.00,3.80,39.60,2.10,25.70,197.70,0.00,0.00,0.00,0.00,13.90,0.00,308.80,343.90
Vernaccia ,WHITE,0.00,0.00,33.30,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.20,39.40
Viognier ,WHITE,386.70,127.10,361.40,159.20,178.20,258.90,295.20,979.20,862.30,202.50,7956.40,4120.50,681.00,0.00,2.20,115.00,1314.30,18000.10,20561.70
White Riesling * ,WHITE,465.20,245.90,206.40,356.30,86.40,0.80,12822.50,2002.80,10.50,122.50,1757.00,7010.10,387.70,0.00,0.00,132.50,2149.50,27756.10,25751.70
Other White  1/ ,WHITE,1.40,20.20,17.90,3.40,0.00,10.60,5.10,8.90,5.50,6.70,67.40,26.20,433.20,429.70,13.00,0.00,0.00,1049.20,986.60
Aglianico ,RED,2.40,0.00,23.70,2.40,0.90,2.70,0.00,62.30,0.00,15.20,1.00,44.80,5.00,0.00,0.00,5.50,4.10,170.00,179.20
Aleatico ,RED,0.00,0.00,13.90,0.30,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,16.20,17.50
Alicante Bouschet * ,RED,0.10,0.00,89.50,0.70,0.00,50.90,3.90,17.50,0.10,17.90,2125.90,3.00,5243.40,801.50,6.20,39.70,109.80,8510.10,8245.40
Alvarelhao ,RED,0.00,0.00,0.30,0.00,0.00,0.00,0.00,2.10,0.00,2.20,15.90,0.00,0.00,0.00,0.00,0.00,0.00,20.50,23.10
Arinarnoa ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,432.50,0.00,0.00,0.00,0.00,432.70,446.50
Barbera ,RED,225.80,66.00,67.00,20.50,3.10,149.50,65.30,259.30,83.30,1081.20,1096.60,593.60,41319.10,279.30,0.00,35.60,3.20,45348.40,54285.80
Beclan ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30
Blaufraenkisch * ,RED,0.00,0.00,1.60,0.00,0.00,0.00,0.00,15.20,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,31.90
Cabernet Franc ,RED,52.10,419.90,1568.60,2899.40,12.90,152.60,612.70,1515.60,23.60,510.40,2332.00,0.00,1.50,515.20,8.10,171.40,63.90,10859.90,10205.80
Cabernet Sauvignon ,RED,10102.30,13938.00,33126.80,50846.70,665.50,3557.60,23025.00,38277.60,4378.60,2309.80,96765.60,35261.30,46376.00,23247.50,71.30,476.10,1876.10,384301.80,446199.70
Carignane ,RED,1003.10,0.00,373.20,14.70,40.30,499.30,4.80,40.20,6.20,18.50,1496.30,479.10,7349.50,1701.80,0.00,0.00,5.80,13032.80,13839.90
Carmenere ,RED,94.40,0.00,8.40,2.40,0.00,0.00,3.70,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,110.80,27.80
Carmine ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,7.90
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4174.00,1042.90,0.00,0.00,0.00,5216.90,6055.90
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2221.30,0.00,0.00,0.00,0.00,2221.30,1076.60
Charbono ,RED,14.40,0.50,0.00,182.10,0.00,13.10,0.00,21.90,0.00,7.80,8.70,0.00,91.80,0.00,0.00,3.70,0.00,344.00,265.90
Ciliegiolo ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,0.00,7.20,10.40
Cinsaut * ,RED,0.00,0.20,25.50,2.70,0.00,29.40,20.40,77.40,0.00,14.50,242.90,0.00,0.00,63.30,0.00,33.80,0.00,510.10,511.90
Colorino ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,5.40,7.00
Counoise ,RED,2.50,4.40,4.50,1.50,12.40,8.90,0.00,86.50,0.00,6.40,0.00,7.80,0.00,0.00,0.00,3.30,0.00,138.20,157.90
Dolcetto ,RED,67.70,0.00,60.60,18.10,3.20,9.00,42.40,66.90,2.80,25.50,23.80,0.00,2.40,0.00,0.00,17.20,1.70,341.30,331.10
Dornfelder ,RED,0.00,0.00,18.70,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,701.30,0.00,0.00,0.00,0.00,0.00,721.50,586.90
Durif ,RED,0.00,0.00,5.80,0.00,0.00,0.00,2.10,0.00,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.60,10.70
Early Burgundy ,RED,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,7.10,5.90
Fer Servadou ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,4.40,5.50
Freisa ,RED,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.80,0.00,5.60,0.00,4.60,0.00,0.00,0.00,0.00,0.00,15.00,23.70
Gamay (Napa) * ,RED,33.20,0.00,10.90,50.30,129.80,3.00,239.00,67.40,0.00,0.00,0.00,0.00,850.90,0.00,0.00,0.00,116.00,1500.50,2129.00
Gamay Beaujolais ,RED,0.00,0.00,0.00,0.00,30.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.30,0.00
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,7.30
Graciano ,RED,0.00,0.00,6.30,1.40,0.00,4.70,3.50,4.20,16.10,15.90,27.40,4.20,0.00,0.00,0.00,0.00,1.00,84.70,81.70
Grand Noir ,RED,0.00,0.00,4.70,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,4.60
Grenache * ,RED,196.90,68.70,284.90,102.50,40.30,179.50,791.00,2402.30,1034.70,241.40,769.10,4224.50,55627.50,3783.50,62.40,141.30,132.80,70083.30,69173.90
Grignolino ,RED,0.00,0.00,0.00,23.00,0.00,7.70,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,31.30,23.30
Lagrein ,RED,0.00,0.00,13.50,0.00,0.00,0.50,0.00,143.90,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.60,243.50
Malbec ,RED,101.30,159.20,1110.50,906.00,16.80,100.00,953.40,1091.20,342.60,78.70,2836.10,295.60,1.50,0.00,2.60,21.90,6.50,8023.90,8122.30
Mataro * ,RED,23.50,91.10,119.30,20.40,92.40,677.20,45.60,1057.00,12.80,291.20,67.50,861.10,101.40,0.00,7.70,79.70,11.90,3559.80,2605.10
Merlot ,RED,5394.90,1081.60,14670.50,16697.40,1078.40,2078.30,33119.50,22414.20,3286.70,1014.30,71365.90,35465.70,52319.70,18555.40,30.60,373.70,7392.50,286339.30,310716.00
Meunier * ,RED,9.60,0.00,301.40,150.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461.80,620.00
Mission ,RED,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.60,0.00,16.20,57.10,0.00,6308.20,1196.20,178.80,0.00,0.00,7758.00,8774.70
Montepulciano ,RED,52.00,0.00,26.40,1.90,4.50,48.90,0.00,5.50,1.90,33.20,0.90,11.00,0.00,73.40,0.00,33.80,0.00,293.40,393.90
Muscat Hamburg * ,RED,0.00,0.00,4.30,0.90,2.10,13.90,0.40,0.00,0.10,17.30,55.70,71.90,146.60,0.00,0.00,0.00,0.00,313.20,338.70
Nebbiolo ,RED,1.90,0.50,17.00,9.80,0.00,5.10,0.00,87.90,5.10,30.90,3.00,0.00,214.20,0.00,0.00,3.50,1.00,379.90,375.00
Negrette * ,RED,0.00,0.00,0.00,0.00,0.00,0.10,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30,22.10
Negroamaro ,RED,20.80,0.00,0.00,0.00,0.00,0.00,0.00,35.40,0.50,0.00,0.00,4.20,0.00,0.00,0.00,0.20,0.00,61.10,96.70
Nero D'Avola * ,RED,2.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,0.00,0.00,0.00,8.50,0.00,25.90,152.30
Peloursin ,RED,0.00,0.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.10
Petit Verdot ,RED,144.90,177.50,851.70,2321.50,35.90,399.70,890.30,1674.40,841.30,158.70,4317.30,2306.30,0.00,5.00,2.20,31.70,0.00,14158.40,12692.30
Petite Sirah ,RED,1728.50,1785.80,2521.10,3010.70,650.50,1651.30,1629.70,5948.70,1318.50,709.80,24405.90,8717.20,385.40,2.00,4.60,110.00,3995.50,58575.20,51617.80
Pfeffer Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,8.20,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,16.60
Pinot Noir ,RED,6723.90,181.40,28350.20,6022.90,3323.40,1276.70,28798.40,12438.20,1309.00,30.20,21530.10,23713.60,11905.90,11819.90,11.50,23.90,12989.40,170448.60,147741.60
Pinotage ,RED,24.20,0.00,5.00,3.60,0.00,0.50,0.00,0.00,0.00,8.10,26.80,0.00,0.00,0.00,0.00,3.90,0.00,72.10,105.30
Primitivo ,RED,54.70,34.00,136.70,21.40,0.00,51.70,78.80,260.30,15.80,200.80,76.60,12.80,8.00,8.60,0.00,16.30,11.70,988.20,1330.30
Refosco * ,RED,0.00,0.00,0.10,3.50,0.00,2.40,0.00,65.20,0.00,3.80,516.40,0.00,0.00,0.00,0.00,0.40,0.00,591.80,442.00
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179.20,519.90,0.00,0.00,0.00,699.10,642.70
Rubired * ,RED,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,792.50,0.00,844.30,7811.40,184985.60,61832.00,0.00,7.30,0.00,256276.10,220332.30
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,667.60,3146.10,55037.80,15641.30,0.00,4.90,0.00,74498.60,83428.80
Sagrantino ,RED,0.00,0.00,0.00,1.60,0.00,0.00,0.00,5.00,0.00,2.90,0.00,59.40,0.00,0.00,0.00,0.00,0.00,68.90,73.90
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280.90,0.00,1.20,0.00,1282.10,1283.10
Sangiovese * ,RED,379.80,0.00,845.20,493.80,22.40,161.80,358.40,450.40,32.90,429.50,1980.10,19.00,1002.50,716.40,12.80,208.10,122.80,7235.90,7831.60
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,692.90,0.00,0.00,0.00,0.00,692.90,717.90
Souzao ,RED,2.50,3.30,3.20,0.00,0.00,2.90,17.90,25.40,0.00,20.50,185.30,1.50,259.20,0.00,0.00,0.00,0.00,521.70,587.60
St Laurent ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
Syrah * ,RED,2014.50,1039.00,3614.00,2130.30,279.20,849.10,6990.00,13086.70,4264.10,1679.60,21683.50,11463.10,37312.90,1931.00,56.50,312.50,716.20,109422.20,127630.10
Tannat ,RED,3.50,0.00,73.40,7.20,2.60,0.70,126.60,142.70,16.80,2.70,1118.90,1257.50,0.00,5.50,0.00,2.30,3.10,2763.50,2500.70
Tempranillo * ,RED,2.60,130.20,110.50,106.60,8.60,44.40,71.40,894.70,517.70,297.80,613.80,24.70,6946.70,0.00,6.40,98.70,26.80,9901.60,10695.20
Teroldego ,RED,0.00,0.00,0.90,0.00,0.00,30.50,39.10,32.00,3.20,12.30,263.00,0.00,0.00,0.00,0.00,0.00,6.30,387.30,494.80
Tinta Barroca ,RED,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,2.80,4.10
Tinta Cao ,RED,3.40,4.90,12.70,2.20,0.40,4.40,3.90,17.60,0.00,15.50,4.70,0.00,512.00,0.00,0.00,2.70,0.00,584.40,560.40
Tinta Madeira ,RED,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,98.60,0.00,0.00,0.00,0.00,100.10,139.50
Touriga Francesca ,RED,1.80,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,8.70,11.00
Touriga Nacional * ,RED,12.20,8.90,3.60,31.50,0.00,5.50,7.00,39.70,0.00,47.70,1187.70,48.70,592.10,0.00,0.00,22.20,0.00,2006.80,2220.70
Trousseau * ,RED,0.00,5.00,2.20,0.00,0.00,0.00,5.10,0.00,0.00,4.20,22.40,0.00,0.00,0.00,0.00,0.00,0.00,38.90,49.70
Zinfandel ,RED,4432.10,1890.60,13101.00,3660.40,379.00,2095.80,436.10,9188.80,7338.80,6021.40,111217.60,14962.50,123665.90,42875.80,370.90,215.70,3315.70,345168.10,394213.30
Other Red  1/ ,RED,76.00,30.10,225.40,52.70,16.70,15.50,9.20,59.20,6.20,34.00,284.70,403.80,9412.10,1297.60,40.90,1.70,42.10,12007.90,37332.90
