Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2018 State Total,2017 State Total
Albarino ,WHITE,4.10,0.00,58.10,94.30,14.00,0.00,289.40,460.50,29.70,32.80,297.80,25.40,19.80,0.00,3.90,31.40,1259.10,2620.30,2153.50
Arneis ,WHITE,31.60,0.00,12.50,1.90,0.00,0.00,0.00,10.90,0.00,2.20,10.30,0.00,0.00,0.00,0.00,26.70,4.00,100.10,111.80
Burger * ,WHITE,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2815.40,729.40,23676.40,0.00,0.00,0.00,0.00,27221.40,25004.30
Chardonnay * ,WHITE,26768.00,2241.10,88311.60,29874.00,6786.30,8162.30,112315.90,41551.80,21619.10,649.40,127069.00,64851.80,92918.10,28228.70,22.10,171.30,60127.10,711667.60,614723.30
Chenin Blanc ,WHITE,136.60,1.00,39.70,60.70,1059.90,2.90,962.80,393.80,59.40,15.40,449.20,5080.00,16792.70,0.00,0.00,1.80,13462.90,38518.80,35565.70
Cortese ,WHITE,4.10,0.00,0.00,0.00,0.00,0.00,0.00,8.80,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.20,93.20,75.60
Fiano ,WHITE,0.90,0.00,13.40,2.20,0.00,12.20,0.00,5.20,5.60,7.00,6.30,0.00,0.00,0.00,0.00,7.70,9.30,69.80,66.00
Flora ,WHITE,0.00,0.00,0.00,23.50,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,27.70
French Colombard ,WHITE,140.60,0.00,42.50,0.00,0.00,0.00,0.00,0.00,2139.30,2.40,2824.50,500.00,260252.70,39154.80,0.00,0.00,1297.80,306354.60,335762.30
Gewurztraminer ,WHITE,521.60,103.10,258.40,21.20,865.60,0.40,8331.10,92.70,18.90,5.70,163.00,0.00,0.00,0.00,0.00,29.90,6427.80,16839.40,16874.60
Gray Riesling * ,WHITE,0.00,0.00,55.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,64.60,96.00
Grenache Blanc ,WHITE,2.70,4.10,124.70,41.10,4.70,4.20,121.60,891.00,14.60,47.20,86.60,0.00,292.20,0.00,0.00,7.80,54.40,1696.90,1938.80
Gruner Veltliner ,WHITE,0.00,0.00,41.20,14.30,0.00,20.40,286.10,224.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.50,672.90,697.00
Malvasia Bianca ,WHITE,0.00,0.00,17.30,9.10,17.20,78.40,780.50,115.80,0.00,1.10,1254.80,3253.10,162.10,0.00,0.00,10.70,0.00,5700.10,6090.90
Marsanne ,WHITE,12.60,8.70,76.60,27.50,0.00,3.20,74.20,183.40,5.50,46.70,0.00,0.00,18.90,0.00,0.90,8.20,0.00,466.40,482.10
Melon ,WHITE,0.00,0.00,13.20,0.00,0.00,0.00,0.00,12.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.80,32.50
Moscato Gaillo * ,WHITE,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.90,0.00,1.70,1.00,0.00,2.90,0.00,0.00,0.00,0.00,14.50,16.70
Muscat Blanc * ,WHITE,286.20,260.60,113.00,352.00,123.20,37.90,698.90,512.40,181.80,42.00,3450.10,2644.80,7287.60,10490.30,3.40,126.20,598.10,27208.50,27186.00
Muscat Orange ,WHITE,51.70,12.00,0.00,0.00,0.00,33.70,12.00,231.70,358.00,54.20,880.00,850.60,823.00,0.00,0.00,8.10,54.70,3369.70,3263.40
Muscat of Alexandria ,WHITE,0.00,0.00,1.80,3.60,0.00,0.00,0.00,0.00,2274.80,8.00,1.10,11136.00,126989.50,35044.10,0.80,1.90,92.60,175554.20,203941.70
Palomino * ,WHITE,0.00,0.00,2.00,0.00,0.00,14.90,0.00,0.70,0.00,0.00,0.00,0.00,670.50,0.00,0.00,8.20,0.00,696.30,662.10
Pecorino ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,0.00,13.30,24.00
Picpoul Blanc ,WHITE,3.70,0.00,7.80,6.70,0.00,2.00,37.20,56.30,0.00,7.60,23.10,0.00,7.10,0.00,0.40,5.60,0.00,157.50,167.00
Pinot Blanc ,WHITE,118.80,0.00,339.40,82.80,0.00,8.90,780.60,88.30,0.00,0.20,0.90,0.00,0.00,0.00,0.00,1.40,0.00,1421.30,1299.60
Pinot Gris * ,WHITE,402.60,546.50,1670.00,446.60,2145.70,592.10,8307.50,2526.60,6402.60,127.30,72733.50,50438.60,78871.70,29153.80,3.20,83.30,21156.40,275608.00,252451.60
Ribolla Gialla * ,WHITE,1.10,0.00,8.50,23.50,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,34.60,41.00
Roussanne ,WHITE,96.30,93.80,124.60,59.50,0.00,11.50,19.70,519.00,8.00,74.70,37.10,0.00,14.30,0.00,0.00,48.90,2.70,1110.10,1253.70
Sauvignon Blanc ,WHITE,4005.60,13922.40,18918.00,14465.50,667.80,1446.70,8465.60,8345.60,613.30,597.40,21164.10,4638.70,1076.50,3432.90,13.70,157.20,16118.70,118049.70,106715.50
Sauvignon Gris ,WHITE,0.00,0.00,63.30,0.00,0.00,0.00,2.40,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.10,24.00
Sauvignon Musque ,WHITE,97.90,77.90,440.20,302.70,0.00,0.00,64.10,0.00,0.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,985.20,1070.30
Sauvignon Vert * ,WHITE,0.40,0.00,10.70,14.40,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.10,23.60
Semillon ,WHITE,55.10,333.90,477.00,725.50,0.00,116.90,32.50,28.60,80.60,49.80,846.00,0.00,6.10,0.00,0.60,1.90,678.40,3432.90,4293.50
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.70,8.60,3.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,19.60,23.90
Sylvaner ,WHITE,0.00,0.00,7.80,0.00,0.00,0.00,0.00,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,18.60
Symphony ,WHITE,0.00,0.00,0.20,0.00,106.30,0.00,0.00,0.00,0.00,0.00,2070.00,18888.00,9266.20,0.00,0.30,0.40,187.10,30518.50,35993.90
Tocai Friulano ,WHITE,32.90,0.00,9.80,12.40,0.00,0.00,4.00,27.50,0.00,3.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,91.20,60.90
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,0.00,0.00,18.40,1.00,0.00,0.00,0.00,9.60,0.00,56.20,32.30
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1150.80,11569.20,0.00,0.00,0.00,0.00,12720.00,14117.50
Verdejo ,WHITE,0.00,0.00,1.90,2.00,1.30,0.00,0.00,16.10,68.90,17.10,19.50,25.10,0.00,0.00,0.00,0.00,10.70,162.60,139.00
Verdelho ,WHITE,0.00,0.00,0.90,3.30,29.40,22.30,2.70,59.70,162.30,28.70,2246.70,2.90,2.20,0.00,0.00,6.10,222.90,2790.10,3180.90
Vermentino * ,WHITE,3.10,4.00,179.90,29.20,0.00,0.00,3.50,81.80,1.00,109.50,779.70,0.00,0.00,0.00,0.00,65.40,3.70,1260.80,1050.70
Vernaccia ,WHITE,0.00,0.00,27.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,9.90
Viognier ,WHITE,694.30,144.80,691.70,271.00,273.50,150.50,474.10,2032.10,610.00,390.60,9795.80,1990.80,80.70,0.00,6.80,111.10,2062.20,19780.00,19853.40
White Riesling * ,WHITE,214.20,109.90,195.30,257.40,414.00,14.90,6803.30,679.00,5.70,27.50,3397.60,16077.20,793.20,0.00,0.00,71.50,7272.90,36333.60,37259.00
Other White  1/ ,WHITE,6.40,15.00,37.90,9.90,1.20,14.70,13.30,84.00,10.00,13.20,2485.90,0.00,863.00,6410.80,2.70,16.20,96.20,10080.40,11934.60
Aglianico ,RED,1.20,3.30,19.20,1.20,3.30,0.00,1.30,49.80,11.20,35.30,64.30,12.50,9.10,0.00,0.00,20.30,23.30,255.30,189.90
Aleatico ,RED,0.00,0.00,21.50,3.60,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.80,0.40,29.50,23.50
Alicante Bouschet * ,RED,0.50,2.00,115.40,7.70,0.00,79.80,2.70,43.30,12.80,54.20,2763.70,2536.70,1984.30,0.00,1.90,20.50,0.00,7625.50,5388.80
Alvarinho ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.50
Arinarnoa ,RED,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,2774.50,0.00,0.00,0.00,0.00,2775.30,3297.90
Barbera ,RED,300.50,83.90,229.20,1.90,15.50,126.20,208.90,428.90,67.90,1732.70,1510.80,47.90,40103.10,268.90,1.00,65.60,27.20,45220.10,43423.90
Blaufraenkisch * ,RED,0.00,0.00,0.00,0.20,0.00,0.00,0.00,14.90,3.70,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,21.10,16.30
Cabernet Franc ,RED,110.90,342.70,1832.60,3420.50,51.90,264.00,630.10,2034.10,18.20,484.20,2376.20,0.00,43.40,0.00,12.10,174.40,142.70,11938.00,11302.10
