Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2018 State Total,2017 State Total
Cabernet Sauvignon ,RED,14723.00,20077.50,56948.20,89096.60,1595.20,7101.70,32668.60,90507.50,4379.50,3588.90,198838.30,70721.60,68535.50,17571.90,57.40,803.30,3093.10,680307.80,602027.00
Carignane ,RED,1230.80,0.00,406.90,16.20,21.10,509.80,9.40,165.60,5.40,39.90,1420.50,74.60,10279.80,0.00,3.40,17.60,26.70,14227.70,12112.70
Carmenere ,RED,1.40,0.20,11.90,18.10,0.00,0.50,0.00,18.50,0.00,0.80,12.70,0.00,0.00,0.00,0.00,7.00,0.00,71.10,50.40
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.10,31.80,0.00,0.00,0.00,115.90,889.90
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,972.90,0.00,0.00,0.00,0.00,972.90,1460.60
Charbono ,RED,31.20,5.00,0.00,158.60,17.80,12.70,0.40,39.70,0.00,23.90,5.90,0.00,2.60,0.00,0.00,3.00,0.00,300.80,292.00
Ciliegiolo ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,1.00,2.70,5.70
Cinsaut * ,RED,2.00,7.30,35.90,2.10,0.00,15.20,131.30,97.70,2.00,34.50,93.80,4.40,0.00,0.00,0.50,55.50,11.90,494.10,447.70
Counoise ,RED,4.80,0.70,15.20,2.10,0.00,18.80,0.00,111.40,2.90,8.40,0.00,5.90,4.10,0.00,0.00,9.40,0.00,183.70,232.10
Dolcetto ,RED,90.40,0.00,23.00,11.10,10.20,9.90,47.20,27.30,0.80,37.80,30.90,0.00,0.00,0.00,0.00,1.90,0.00,290.50,243.90
Dornfelder ,RED,0.00,0.00,0.00,0.00,0.00,0.50,11.90,3.90,424.70,0.00,248.20,910.30,0.00,0.00,0.00,0.00,0.00,1599.50,1791.80
Durif ,RED,0.00,0.00,7.10,0.00,0.00,1.20,0.00,3.00,48.00,1.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,61.60,31.40
Freisa ,RED,0.00,0.00,0.00,0.00,0.00,0.00,5.90,4.30,0.00,9.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,17.00
Gamay (Napa) * ,RED,62.20,0.00,17.50,83.40,265.60,1.90,321.00,430.60,0.00,4.30,0.00,0.00,37.00,0.00,0.00,0.00,138.80,1362.30,1836.30
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,0.00,2.80,0.00,0.00,0.00,5.80,2.80,44.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.80,43.30
Graciano ,RED,2.30,0.00,1.40,0.00,0.90,2.80,2.40,158.10,15.70,31.60,365.60,0.00,0.00,0.00,0.00,0.00,1.70,582.50,329.20
Grenache * ,RED,648.10,182.60,929.00,368.10,33.80,522.60,3404.10,5630.50,67.20,604.00,958.10,1046.80,24572.20,1629.50,19.90,188.20,19.70,40824.40,38061.20
Grignolino ,RED,0.00,0.00,0.00,32.90,0.00,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.20,41.90
Lagrein ,RED,0.00,0.00,15.10,3.00,0.00,0.00,0.00,205.60,0.00,7.80,222.60,0.00,0.00,0.00,0.00,0.00,0.00,454.10,462.50
Lambrusco ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.30,0.00,0.00,0.00,0.00,0.00,333.30,260.90
Malbec ,RED,546.50,905.30,2695.10,2542.80,94.90,587.90,3141.40,2778.50,2229.80,331.70,19529.50,4833.80,3939.70,0.00,5.30,134.10,91.10,44387.40,33838.80
Merlot ,RED,6295.30,1353.20,15492.00,16459.00,933.00,2249.60,23936.50,14782.30,3315.10,964.10,82713.30,25730.70,44832.80,11821.90,33.80,348.00,7681.80,258942.40,255247.30
Meunier * ,RED,10.20,0.00,537.40,284.00,0.00,0.00,0.70,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,836.90,878.30
Mission ,RED,0.00,0.00,0.00,0.00,0.00,1.30,0.00,2.40,0.00,11.20,27.00,5.20,999.00,0.00,0.00,1.50,0.00,1047.60,994.80
Monastrell ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,5.40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,10.40,25.50
Montepulciano ,RED,10.50,4.00,46.60,3.30,0.00,1.40,7.90,13.00,83.70,34.10,68.90,158.70,242.20,0.00,0.00,100.70,4.00,779.00,519.40
Mourvedre * ,RED,39.10,45.30,216.40,31.20,15.80,1102.20,101.30,1170.60,25.60,363.80,67.00,361.60,44.50,0.00,5.10,99.20,7.40,3696.10,4094.50
Muscat Hamburg * ,RED,0.00,0.00,4.60,0.00,0.80,0.00,3.10,15.40,0.00,20.10,174.80,197.00,636.20,0.00,0.00,0.00,0.00,1052.00,1181.70
Nebbiolo ,RED,21.30,1.80,44.20,14.70,0.00,21.30,2.10,178.30,6.50,55.50,7.30,0.00,114.60,0.00,1.00,3.60,15.80,488.00,466.80
Negrette * ,RED,0.00,0.00,0.00,1.40,0.00,0.10,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,8.80,14.50
Negroamaro ,RED,13.10,2.90,7.00,4.20,0.00,0.00,0.00,61.70,1.90,3.80,0.00,0.00,0.00,0.00,0.00,3.20,0.00,97.80,108.60
Nero D'Avola * ,RED,4.70,1.40,6.00,1.20,0.00,0.00,0.00,15.80,0.80,0.00,37.00,18.90,0.00,0.00,1.10,0.00,3.50,90.40,102.00
Petit Verdot ,RED,161.80,209.50,1324.80,2976.90,186.40,1298.00,1152.90,3711.60,2646.30,304.30,13996.80,7552.50,1791.70,4.80,3.60,36.90,6.60,37365.40,35369.20
Petite Sirah ,RED,2737.40,2541.00,2954.50,3665.20,1970.60,3610.30,2400.80,9724.30,4088.70,1096.60,47551.80,12569.20,3750.30,284.10,12.70,168.50,9555.50,108681.50,97681.20
Pinot Noir ,RED,10940.90,399.90,58005.20,11044.60,5267.50,2029.20,72461.10,28796.60,2579.40,74.10,45745.40,23484.80,12948.10,11153.70,10.20,30.60,28853.00,313824.30,263792.80
Pinotage ,RED,20.30,0.00,27.10,0.00,0.00,10.50,0.00,0.00,0.00,7.30,16.20,0.00,0.00,0.00,0.00,4.00,1.30,86.70,86.40
Primitivo ,RED,76.40,7.50,175.20,54.20,2.10,55.40,151.10,350.50,8.70,537.80,451.80,6.00,418.10,208.80,0.00,19.30,20.30,2543.20,2131.40
Refosco * ,RED,1.30,1.60,3.00,5.50,0.00,3.60,0.00,41.80,0.00,8.60,0.00,0.00,0.00,0.00,0.00,0.10,0.00,65.50,470.80
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,0.00,0.00,0.00,0.00,33.60,33.00
Rubired * ,RED,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,1785.70,0.00,2423.00,5568.50,194790.20,47622.10,0.00,5.20,0.00,252202.60,239625.00
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,428.50,1175.00,32190.60,13169.90,0.00,3.80,0.00,46968.90,59505.20
Sagrantino ,RED,0.00,1.20,12.60,1.20,0.40,6.50,6.00,0.00,0.00,10.20,0.00,15.30,6.90,0.00,0.00,3.90,0.00,64.20,59.80
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,327.90
Sangiovese * ,RED,460.60,38.10,1070.20,453.20,105.50,206.10,302.10,656.80,21.80,555.90,928.50,36.40,476.10,0.00,7.40,277.10,674.30,6270.10,6372.30
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,358.50,0.00,923.70,0.00,0.00,0.00,0.00,1283.30,1290.20
Souzao ,RED,4.70,3.90,3.00,0.00,0.00,8.80,25.30,13.70,6.60,19.70,241.80,0.90,738.30,0.00,0.00,0.00,0.00,1066.70,670.30
St Laurent ,RED,0.00,1.60,29.40,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,26.20
Syrah * ,RED,2441.20,688.70,3966.90,2050.00,374.80,719.60,7530.90,14581.30,3617.90,1772.50,16949.00,5412.50,32022.90,1078.10,50.50,429.60,642.20,94328.60,100835.90
Tannat ,RED,16.30,0.00,49.30,19.00,2.90,0.40,204.40,384.20,528.40,21.00,3742.30,949.90,493.10,5.00,1.80,13.00,88.20,6519.20,6448.80
Tempranillo * ,RED,38.60,167.30,193.30,122.50,18.70,148.00,148.30,1206.60,913.40,426.50,1516.60,7.40,7364.70,0.00,10.20,161.00,394.50,12837.60,12476.50
Teroldego ,RED,0.00,0.00,4.20,0.00,3.30,382.60,51.30,56.70,619.60,19.30,10975.20,920.20,1803.80,0.00,0.00,3.70,1006.90,15846.80,11541.00
Tinta Cao ,RED,2.00,0.00,12.00,0.00,0.00,4.80,4.00,22.70,0.10,22.50,55.80,0.00,421.90,0.00,0.00,2.40,0.00,548.20,452.60
Tinta Madeira ,RED,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,65.70,0.00,0.00,0.00,0.00,66.10,58.20
Touriga Nacional * ,RED,10.60,18.50,6.70,35.80,0.00,21.40,6.60,70.70,3.40,55.70,2077.10,11.60,2214.00,0.60,0.00,17.30,0.00,4550.00,4248.60
Trousseau * ,RED,2.30,11.90,15.00,1.60,0.00,0.00,2.90,12.80,0.00,12.10,3.50,0.00,0.00,0.00,0.00,0.00,5.00,67.10,53.30
Zinfandel ,RED,7076.50,1436.00,15730.60,4228.50,458.20,2279.50,666.00,7471.30,6600.90,8079.60,135645.30,6889.60,158529.90,29028.60,18.70,163.30,3662.80,387965.30,364939.90
Other Red  1/ ,RED,53.80,1.00,313.60,95.80,1.70,84.30,32.50,115.50,391.70,43.20,1097.30,1034.20,12230.10,17392.40,0.00,141.20,67.00,33095.30,19732.90
