,index,RED,WHITE,TOTAL,PERCENT,YEAR
0,1,28100.800000000003,26978.5,55079.3,1.6148090307202563,2020
1,10,15547.000000000002,2287.7999999999997,17834.800000000003,0.5228787602799896,2020
2,11,465327.30000000005,223028.39999999997,688355.7,20.1811388435903,2020
3,12,135170.3,152640.19999999998,287810.5,8.437997478837099,2020
4,13,563430.9,634149.6999999997,1197580.5999999996,35.11054003764358,2020
5,14,95950.3,123042.3,218992.6,6.420401641649562,2020
6,15,344.90000000000003,35.6,380.50000000000006,0.011155458333512907,2020
7,16,3120.0999999999995,1105.3999999999999,4225.499999999999,0.12388275739358416,2020
8,17,49368.1,121043.6,170411.7,4.99611200760342,2020
9,2,22054.199999999993,17465.9,39520.09999999999,1.1586460680322295,2020
10,3,82910.20000000001,65174.89999999997,148085.09999999998,4.341543134991043,2020
11,4,71221.1,28086.800000000003,99307.90000000001,2.9114983985247473,2020
12,5,11588.5,10799.300000000003,22387.800000000003,0.6563631276715381,2020
13,6,17383.600000000006,6734.799999999999,24118.400000000005,0.7071006735111635,2020
14,7,83461.90000000002,104925.59999999995,188387.49999999997,5.52312459081383,2020
15,8,146015.80000000002,45436.8,191452.60000000003,5.612986865026842,2020
16,9,29256.899999999998,27698.800000000007,56955.700000000004,1.6698211253772959,2020
17,1,38905.99999999999,28832.100000000002,67738.09999999999,1.728389208853704,2019
18,10,17821.399999999998,2508.2999999999997,20329.699999999997,0.518727778004301,2019
19,11,518537.8999999999,256181.7,774719.5999999999,19.76756059776489,2019
20,12,145625.59999999995,165626.7,311252.29999999993,7.941839475138742,2019
21,13,604975.2999999999,664763.2999999998,1269738.5999999996,32.398347374741974,2019
22,14,138301.0,135692.5,273993.5,6.991152817927539,2019
23,15,624.4000000000001,87.0,711.4000000000001,0.018151912781411428,2019
24,16,5636.4,1776.8000000000002,7413.2,0.18915344367607417,2019
25,17,50920.09999999999,128884.70000000001,179804.8,4.587856406071303,2019
26,2,27507.3,19738.4,47245.7,1.2055100164418466,2019
27,3,135051.7,94740.09999999998,229791.8,5.863312779706969,2019
28,4,121100.59999999996,38620.7,159721.29999999996,4.075410608565712,2019
29,5,11925.5,8519.499999999998,20445.0,0.5216697453134054,2019
30,6,20543.500000000007,7023.600000000001,27567.10000000001,0.7033955507962427,2019
