Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2020 State Total,2019 State Total
Grenache Blanc,WHITE,35.60,2.90,77.10,3.00,3.10,4.60,202.30,877.80,6.00,56.90,162.50,0.00,11.50,0.00,0.00,13.20,5.60,1462.10,1618.70
Grenache Gris,WHITE,5.70,0.00,4.00,0.00,0.00,0.00,1.40,13.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.40,0.00,25.30,52.80
Gruner Veltliner,WHITE,7.00,0.00,29.20,1.40,0.00,16.60,201.20,181.30,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,50.30,487.50,670.10
Malvasia Bianca,WHITE,0.00,0.00,24.70,6.50,3.70,21.40,406.50,89.40,0.50,3.20,508.40,2845.60,3.00,0.00,0.00,3.50,0.00,3916.40,4747.90
Marsanne,WHITE,11.40,0.00,57.00,22.10,0.00,7.00,54.20,97.10,7.20,43.80,0.00,0.00,23.80,0.00,0.00,6.50,0.00,330.10,420.10
Melon,WHITE,0.00,0.00,11.70,0.00,0.00,0.00,4.70,20.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,54.60
Moscato Gaillo *,WHITE,0.00,14.80,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,6.80,0.00,0.00,0.00,0.00,30.30,32.10
Muscat Blanc *,WHITE,179.70,252.80,82.50,160.50,80.60,45.20,370.40,415.30,249.60,35.40,2182.20,2517.70,6592.60,8420.50,2.00,88.20,431.90,22107.10,28952.70
Muscat Orange,WHITE,38.40,0.00,0.00,0.00,0.00,21.00,0.70,187.60,401.90,58.70,449.30,950.40,834.30,0.00,0.00,11.10,30.40,2983.80,3328.00
Muscat of Alexandria,WHITE,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,2905.40,7.40,0.50,9705.40,143964.60,29770.60,2.30,2.80,73.10,186433.00,194275.00
Palomino *,WHITE,0.00,0.00,3.60,0.00,0.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,571.20,0.00,0.00,3.90,0.00,585.30,803.10
Pecorino,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,18.60,17.00
Picpoul Blanc,WHITE,1.00,0.00,4.20,5.60,0.00,1.70,27.90,74.80,4.50,30.80,20.70,0.00,4.50,0.00,0.00,3.70,0.00,179.40,206.90
Pinot Blanc,WHITE,145.60,0.00,132.90,58.00,0.00,5.20,870.70,78.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,9.90,0.00,1300.80,1378.60
Pinot Gris *,WHITE,294.80,740.60,1040.60,304.50,2778.40,667.50,7371.40,3036.20,6511.10,121.60,58078.60,36489.50,71075.10,9708.40,0.00,134.40,20007.30,218360.00,246926.70
Ribolla Gialla *,WHITE,0.00,0.00,0.40,31.30,0.00,0.00,0.00,0.00,0.00,0.60,12.00,0.00,0.00,0.00,0.00,0.00,0.00,44.30,50.30
Roussanne,WHITE,48.70,38.40,63.20,32.50,0.00,10.30,30.80,257.10,4.90,67.40,31.60,0.00,10.60,0.00,0.00,42.70,0.00,638.20,975.70
Sauvignon Blanc,WHITE,3380.40,13917.20,14124.70,11288.80,1361.60,863.50,6736.90,8487.00,1178.80,608.20,29984.30,6087.50,2083.10,3503.50,6.90,136.80,21916.50,125665.70,120542.30
Sauvignon Gris,WHITE,0.00,0.00,48.70,16.80,0.00,0.00,0.00,9.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.90,37.20
Sauvignon Musque,WHITE,2.80,1.50,387.10,235.70,0.00,0.00,25.80,14.10,1.20,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,671.00,1036.10
Sauvignon Vert *,WHITE,0.00,0.00,6.80,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,24.20
Semillon,WHITE,52.00,99.70,299.70,473.40,0.00,76.00,28.80,42.80,7.70,45.10,839.50,0.00,0.00,0.00,0.00,4.20,670.10,2639.00,3245.00
St. Emilion *,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,7.20,2.50,0.00,0.00,0.00,0.00,0.00,1.30,0.00,13.30,16.70
Sylvaner,WHITE,0.00,0.00,9.10,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.30,21.90
Symphony,WHITE,0.00,0.00,0.50,0.00,81.70,0.00,0.00,0.00,2.40,0.00,1304.60,17959.20,8899.40,0.00,0.00,0.30,3.60,28251.70,32811.80
Tocai Friulano,WHITE,27.90,0.20,5.70,18.80,0.00,0.00,0.00,14.90,0.00,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.20,66.60
Torrontes,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,17.50,33.70
Triplett Blanc,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9335.20,0.00,0.00,0.00,0.00,9335.20,12863.00
Verdejo,WHITE,0.00,0.00,0.00,1.70,2.70,0.00,0.00,6.20,78.40,9.80,83.40,0.00,0.00,0.00,0.00,0.00,0.00,182.20,143.10
Verdelho,WHITE,0.00,0.00,1.00,2.20,21.70,15.70,3.70,27.90,175.50,43.80,2184.40,2.40,0.00,0.00,0.00,14.00,151.00,2643.30,3285.00
Vermentino *,WHITE,7.20,4.60,71.40,13.20,0.30,0.00,26.50,83.20,29.50,115.00,612.90,0.00,2.00,0.00,0.00,60.80,0.00,1026.60,1416.90
Vernaccia,WHITE,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,31.10
Viognier,WHITE,415.20,103.90,320.00,173.00,251.10,73.60,530.90,1402.80,191.50,279.90,9215.50,2149.30,124.20,0.00,0.70,149.80,2571.10,17952.50,18230.20
White Riesling *,WHITE,231.60,61.00,135.40,199.70,353.80,3.40,2795.90,542.30,4.20,34.80,2205.70,16978.60,866.00,0.00,0.50,67.50,5833.40,30313.80,34040.50
Other White 1,WHITE,4.60,0.00,28.60,19.70,2.20,23.90,32.90,95.30,15.00,29.60,270.80,0.00,689.10,8299.30,1.90,44.60,113.90,9671.40,7220.70
Aglianico,RED,1.60,0.00,9.20,1.30,4.10,0.00,0.00,46.00,6.80,36.10,56.60,7.00,1.50,0.00,0.00,28.40,4.80,203.40,259.20
Aleatico,RED,0.00,0.00,15.20,2.10,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,2.20,0.00,20.00,25.00
Alicante Bouschet *,RED,0.00,1.60,60.10,3.40,0.00,44.50,1.10,41.20,1.50,45.40,1391.50,3036.60,683.70,0.00,2.70,6.70,0.00,5320.00,5951.00
Alvarinho,RED,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,1.10,0.00,0.00,0.00,1.50,6.10,7.00
Arinarnoa,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,563.40,0.00,0.00,0.00,0.00,564.00,1923.70
Barbera,RED,325.00,64.10,77.80,0.00,16.70,110.80,20.40,267.70,47.00,1282.40,999.00,374.90,40681.20,3052.00,3.20,81.00,12.50,47415.70,40419.40
Blaufraenkisch *,RED,0.00,0.00,0.00,0.30,0.00,0.00,0.00,6.40,3.80,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,12.30,31.20
Cabernet Dorsa,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,0.00,0.00,0.00,0.00,859.50,0.00,0.00,0.00,0.00,883.30,1695.20
Cabernet Franc,RED,51.10,262.30,942.40,2170.30,46.50,234.30,236.50,1787.50,10.00,381.20,886.30,0.50,70.90,1.00,7.30,166.40,111.30,7365.80,11832.40
Cabernet Sauvignon,RED,8644.20,15275.50,31137.90,47562.80,1540.10,6382.50,26800.10,70517.50,7467.70,1872.30,156008.50,48136.90,61981.80,13575.30,64.60,536.20,1904.80,499408.70,581103.90
Carignane,RED,616.80,1.10,257.90,5.50,19.50,264.20,7.10,124.60,6.50,34.30,824.50,0.00,10030.20,0.00,0.00,14.30,1.00,12207.50,12454.30
Carmenere,RED,0.50,0.00,4.70,23.60,0.00,2.00,0.00,11.10,0.00,0.60,13.10,0.00,0.00,0.00,0.00,4.60,0.00,60.20,66.20
Carnelian,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
Centurian,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1366.90
Charbono,RED,25.20,4.30,0.00,75.50,16.20,6.00,1.40,29.80,0.00,33.60,8.20,0.00,0.80,0.00,0.00,1.40,0.00,202.40,310.90
Ciliegiolo,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30
Cinsaut *,RED,0.00,7.10,25.10,0.50,0.00,11.10,95.70,111.90,7.30,36.30,141.10,2.40,0.00,0.00,0.50,47.20,1.70,487.90,535.90
Counoise,RED,3.20,0.40,8.50,1.10,0.00,10.30,0.00,100.90,9.50,11.60,5.10,0.00,2.50,0.00,0.00,14.40,0.00,167.50,195.00
Dolcetto,RED,56.90,1.00,7.60,2.40,0.00,2.40,34.90,18.10,1.50,42.10,11.50,0.00,0.00,0.00,0.00,2.50,0.00,180.90,227.40
Dornfelder,RED,0.00,0.00,0.00,0.00,0.00,0.60,12.40,1.30,270.00,0.00,303.30,622.90,0.00,0.00,0.00,0.00,0.00,1210.50,1770.80
Durif,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.50,0.50,0.00,0.00,0.00,0.00,0.00,0.80,0.00,29.80,23.80
Freisa,RED,0.70,0.00,0.00,0.00,0.00,0.00,3.80,1.30,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.70,15.10
Gamay (Napa) *,RED,15.10,0.00,52.00,40.60,204.00,1.20,244.50,313.20,0.20,49.80,1.50,0.00,26.90,0.00,0.00,0.00,110.80,1059.80,1218.00
Gamay Noir Au Jus Blanc,RED,0.00,0.00,1.40,1.70,0.00,0.00,3.00,4.50,0.00,15.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,41.10
Graciano,RED,0.00,0.00,0.40,0.00,0.20,1.80,1.60,186.40,4.60,29.80,536.60,0.00,0.00,0.00,0.00,0.00,1.10,762.50,794.80
Grenache *,RED,331.70,161.20,751.70,213.70,106.70,319.60,2093.00,6639.00,52.30,564.50,822.40,801.30,22199.50,2958.80,25.30,192.00,37.00,38269.70,35142.90
Grignolino,RED,1.20,0.00,10.10,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,41.20
Lagrein,RED,0.00,0.00,9.00,2.80,0.00,0.00,0.00,179.40,0.00,10.40,319.70,0.00,0.10,0.00,0.00,0.00,0.00,521.40,531.90
Lambrusco,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.10,0.00,0.00,0.00,0.00,0.00,365.10,383.40
Malbec,RED,265.30,621.50,1004.80,1178.90,50.40,360.20,1675.30,2259.20,1840.10,823.60,15411.60,4773.30,4195.80,0.60,9.30,215.50,77.20,34762.60,43379.50
Merlot,RED,2442.30,626.10,5652.80,7152.10,551.20,1342.00,11528.30,7860.90,2379.40,723.10,57793.90,17938.20,37774.70,7383.70,20.40,240.10,6000.00,167409.20,220475.10
Meunier *,RED,4.70,0.00,324.10,209.00,0.00,0.00,3.60,30.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571.60,728.30
Mission,RED,0.00,0.00,5.80,0.50,0.00,4.50,0.00,0.90,0.00,15.30,18.30,6.10,695.80,2.40,34.00,1.50,0.00,785.10,968.40
Monastrell,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,3.90,5.60,0.00,0.00,0.00,0.00,0.00,0.00,10.80,12.80
Montepulciano,RED,9.30,0.90,23.80,1.90,0.00,5.90,4.20,19.50,5.30,29.30,28.10,223.80,141.80,0.00,0.00,62.40,0.00,556.20,671.30
Mourvedre *,RED,10.20,64.10,108.30,12.20,7.50,501.10,58.00,1143.70,19.70,295.10,211.30,0.00,42.10,0.00,4.80,63.30,8.10,2549.50,3513.80
Muscat Hamburg *,RED,0.00,0.00,0.00,0.00,1.70,0.00,1.30,1.80,0.30,9.80,200.60,105.30,837.50,0.00,0.00,0.00,0.00,1158.30,1018.00
Nebbiolo,RED,22.60,0.00,2.40,12.40,0.00,9.70,0.00,98.40,4.70,68.70,9.40,1.60,128.60,0.00,1.20,10.80,7.80,378.30,553.80
Negrette *,RED,0.00,0.00,0.00,1.40,0.00,0.00,14.50,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,19.50,16.00
Negroamaro,RED,8.80,1.00,8.20,4.20,0.00,0.00,0.00,1.00,1.10,13.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,41.30,109.00
Nero D'Avola *,RED,22.30,5.30,3.40,0.00,0.00,0.00,0.00,19.50,0.00,3.50,32.00,7.70,2.60,0.00,1.10,0.50,2.90,100.80,123.50
Petit Verdot,RED,55.10,133.80,494.60,957.90,25.60,1045.60,612.30,2928.60,3059.50,210.30,12728.50,6230.00,1633.50,4.70,1.80,28.90,6.80,30157.50,37604.20
Petite Sirah,RED,1401.10,2206.80,1622.10,1823.80,1983.90,1932.80,1586.20,6626.30,4140.70,773.00,39651.00,10626.90,2208.40,307.40,6.00,199.00,8702.90,85798.30,98599.70
Pinot Noir,RED,7904.10,495.80,29263.70,6351.90,5940.70,1962.70,34615.90,27252.10,755.20,119.20,39536.30,15877.80,11321.90,3540.70,12.40,30.90,27608.80,212590.10,266862.50
Pinotage,RED,12.80,0.00,6.80,0.70,0.00,2.50,0.00,0.00,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,1.50,33.10,74.20
Primitivo,RED,35.90,0.40,149.10,49.20,4.10,53.20,81.70,997.10,13.10,358.60,196.50,5.00,380.90,139.30,0.00,16.90,12.00,2493.00,3027.80
Refosco *,RED,0.00,0.80,0.50,4.00,0.00,1.30,0.00,44.50,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.10,63.70
Royalty,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.70,0.00,0.00,0.00,0.00,40.70,45.10
Rubired *,RED,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,1401.30,0.00,1466.40,6808.30,169500.20,28145.10,0.00,2.10,0.00,207327.00,252101.20
Ruby Cabernet,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,153.40,3654.90,21168.00,6561.80,0.00,4.90,0.00,31543.70,35313.90
Sagrantino,RED,0.40,0.50,4.30,0.00,0.00,8.20,2.00,0.50,0.00,9.30,13.80,12.10,0.00,0.00,0.00,11.60,1.80,64.50,66.80
Sangiovese *,RED,294.30,18.10,398.90,214.60,56.40,98.10,182.30,614.90,20.30,482.60,429.40,2.50,656.10,0.00,16.80,341.80,241.60,4068.70,5826.40
Segalin,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.90,0.00,0.00,0.00,0.00,850.90,1086.70
Souzao,RED,0.00,3.10,3.40,0.00,0.00,8.70,0.00,3.10,0.00,17.30,143.50,0.00,1020.00,0.00,0.00,0.00,0.00,1199.10,1082.80
St Laurent,RED,0.00,0.00,17.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.40,29.80
Syrah *,RED,1217.40,680.80,1581.50,1021.10,195.40,373.60,2934.80,9675.70,1938.70,1176.80,13151.80,5125.40,32360.90,333.60,39.80,401.00,571.50,72779.80,82868.40
Tannat,RED,3.10,0.00,31.50,33.30,0.00,0.00,20.80,246.10,554.80,19.50,3078.90,1302.70,547.30,4.80,1.80,7.70,21.90,5874.20,7689.00
Tempranillo *,RED,27.80,94.00,85.70,124.60,7.40,93.70,134.80,578.90,551.70,336.00,1361.80,2744.90,3535.10,0.00,4.60,111.10,183.20,9975.30,10759.50
Teroldego,RED,0.00,0.00,2.50,0.00,329.90,215.00,39.10,13.10,1354.30,29.50,9494.80,1453.40,1324.90,0.00,0.00,3.60,600.10,14860.20,19994.60
Tinta Cao,RED,0.60,0.00,0.00,0.00,0.00,2.40,3.10,4.90,0.00,15.70,8.50,0.00,482.70,0.00,0.00,2.00,0.00,519.90,650.50
Tinta Madeira,RED,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,56.70
Touriga Nacional *,RED,7.80,16.50,0.00,30.70,0.00,22.10,4.50,46.00,5.30,49.90,2239.20,0.00,1765.50,0.80,0.00,28.90,0.00,4217.20,4611.10
Trousseau *,RED,1.70,8.70,5.20,0.00,2.80,0.00,0.90,21.60,0.00,11.60,3.70,0.00,0.00,0.00,0.00,0.00,0.00,56.20,85.30
Zinfandel,RED,4254.60,1297.40,8397.00,1874.90,453.70,1889.70,359.20,5018.60,2688.20,5466.90,105392.80,3605.50,132160.00,24201.10,84.70,202.60,3072.70,300419.60,349314.00
Other Red 1,RED,25.40,0.00,337.00,47.80,20.20,50.50,43.60,95.20,605.30,22.00,225.00,1317.30,1551.90,5737.20,2.60,30.60,60.80,10172.40,9885.80
