Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2020 State Total,2019 State Total
Albarino,WHITE,0.90,3.40,59.90,47.70,188.40,11.60,146.50,344.30,22.90,41.00,938.00,5.00,13.10,0.00,0.80,35.90,1780.90,3640.30,3603.50
Arneis,WHITE,22.90,0.00,0.00,1.20,0.00,0.00,1.50,18.50,0.00,2.20,3.00,0.00,0.00,0.00,0.00,26.30,0.00,75.60,113.20
Burger *,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2289.40,716.60,18254.00,3151.10,0.00,0.00,0.00,24411.10,23732.20
Chardonnay *,WHITE,21473.00,2156.00,47877.70,14882.20,4600.20,4832.40,78712.00,28545.40,13435.30,574.00,106701.20,52721.70,89493.70,22050.10,20.50,170.90,51074.30,539320.60,642116.20
Chenin Blanc,WHITE,105.30,1.50,37.30,51.40,822.30,19.40,82.20,369.40,165.40,37.90,1535.30,3511.30,17567.80,0.00,0.00,6.30,10675.80,34988.60,36756.30
Cortese,WHITE,7.40,0.00,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.10,61.60,71.60
Fiano,WHITE,0.60,0.00,5.20,1.60,0.00,7.80,1.10,5.70,3.90,16.70,8.00,0.00,2.00,0.00,0.00,16.50,10.90,80.00,94.00
Flora,WHITE,0.00,0.00,0.00,20.90,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.70,23.50
French Colombard,WHITE,133.70,0.00,48.50,0.00,7.00,0.00,0.00,0.00,2280.10,1.50,2575.10,0.00,263722.10,38138.80,0.00,0.30,1147.70,308054.80,322574.60
Gewurztraminer,WHITE,345.10,67.40,138.50,12.30,240.50,0.40,6258.70,77.00,8.70,4.50,818.50,0.00,0.00,0.00,0.00,31.00,4444.70,12447.30,13463.40
Gray Riesling *,WHITE,0.00,0.00,17.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.90,70.00
