Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2016 State Total,2015 State Total
Albarino ,WHITE,2.80,0.00,48.20,92.90,18.70,2.00,373.40,447.30,20.80,39.60,220.40,0.00,20.70,0.00,0.00,15.80,795.70,2098.30,1693.00
Arneis ,WHITE,22.70,0.00,109.20,0.80,0.00,0.00,0.00,3.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,36.80,0.00,175.00,171.10
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3121.10,790.70,22155.90,0.00,0.00,0.00,0.00,26067.70,29519.60
Chardonnay * ,WHITE,30150.50,2379.90,74954.20,25922.40,5168.50,6434.20,94974.70,42975.40,16646.80,553.30,133633.50,65799.30,91931.30,29619.10,32.10,248.10,54461.30,675884.60,633594.40
Chenin Blanc ,WHITE,111.50,6.40,35.90,48.60,1132.80,0.00,834.20,392.20,157.60,13.10,1488.50,4184.80,18174.70,421.40,0.00,6.00,15753.40,42761.10,34784.90
Cortese ,WHITE,5.70,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.60,71.70,43.50
Fiano ,WHITE,0.00,0.00,11.10,0.80,0.00,6.00,1.60,2.00,5.50,8.00,1.20,0.00,0.00,0.00,0.00,4.30,12.30,52.80,29.10
Flora ,WHITE,2.60,0.00,0.00,28.80,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,26.80
Folle Blanche ,WHITE,0.00,0.00,18.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.70,11.40
French Colombard ,WHITE,166.90,0.00,31.90,0.00,4.90,0.00,0.00,0.00,2271.10,476.40,3065.40,3042.70,256332.00,38344.70,0.00,0.00,0.00,303736.00,331585.50
Gewurztraminer ,WHITE,542.70,103.40,284.20,26.50,999.80,459.10,8557.20,126.80,8.80,5.70,130.60,597.10,0.00,0.00,0.00,45.90,6207.50,18095.30,12504.80
Gray Riesling * ,WHITE,18.20,0.00,42.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.90,0.00,0.00,0.00,0.00,0.00,0.00,87.40,55.90
Grenache Blanc ,WHITE,4.50,7.60,101.50,28.90,4.80,3.00,120.50,922.90,17.20,39.70,106.30,0.00,2.80,0.00,0.40,18.40,43.80,1422.30,1159.40
Gruner Veltliner ,WHITE,0.00,0.00,50.50,12.80,0.00,7.90,339.70,160.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,65.20,637.40,539.00
Malvasia Bianca ,WHITE,0.00,0.00,13.10,5.80,19.00,33.60,968.90,149.10,1.20,0.10,1123.70,3362.90,488.80,42.90,0.00,6.60,0.00,6215.70,7209.00
Marsanne ,WHITE,25.10,8.60,39.20,34.60,0.00,4.70,71.50,145.70,3.10,39.90,0.00,0.00,13.00,0.00,0.00,7.70,0.00,393.10,498.00
Melon ,WHITE,0.00,0.00,13.90,0.00,0.00,0.00,0.00,6.60,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,19.80
Moscato Gaillo * ,WHITE,0.00,0.00,4.20,0.00,0.00,0.00,0.00,1.00,0.60,2.10,0.00,0.00,4.50,0.00,0.00,0.00,0.00,12.40,46.50
Muscat Blanc * ,WHITE,236.10,255.40,165.60,366.60,94.80,40.90,989.50,672.40,243.00,32.40,2382.20,2266.50,7716.50,10279.10,4.40,198.30,425.60,26369.30,25974.20
Muscat Orange ,WHITE,55.90,4.40,0.00,13.50,242.90,28.30,18.00,230.50,418.10,27.80,1048.10,882.80,766.90,0.00,0.00,4.60,47.80,3789.60,3539.90
Muscat of Alexandria ,WHITE,3.40,25.40,1.90,2.00,0.00,1.60,0.00,2.80,2764.80,1.90,476.40,10840.90,121789.20,34419.40,2.50,6.50,92.60,170431.30,180237.60
Palomino * ,WHITE,0.00,0.00,5.40,0.00,0.00,17.10,0.00,0.00,0.00,0.00,0.00,0.00,664.40,0.00,0.00,13.00,0.00,699.90,816.40
Pecorino ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,0.00,21.20,0.00
Picpoul Blanc ,WHITE,1.00,0.00,4.60,3.50,0.00,2.50,19.30,70.50,3.00,9.50,1.50,0.00,0.00,0.00,0.00,1.00,0.00,116.40,93.50
Pinot Blanc ,WHITE,140.10,0.00,230.60,73.30,0.00,5.20,842.10,119.70,0.00,2.80,3.20,0.00,0.00,0.00,0.00,0.00,0.00,1417.00,963.50
Pinot Gris * ,WHITE,431.40,629.00,1496.30,373.20,2030.30,1067.60,7783.70,2936.00,6839.00,120.70,62744.00,49317.60,61676.10,27385.20,0.00,104.70,18801.00,243735.80,185197.00
Ribolla Gialla * ,WHITE,0.00,0.00,15.30,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.30,22.00
Roussanne ,WHITE,82.80,85.10,84.30,57.80,0.00,11.80,52.10,545.30,3.20,85.50,41.70,0.00,4.90,0.00,0.00,85.30,0.00,1139.80,1144.00
Sauvignon Blanc ,WHITE,4092.60,15814.00,16114.40,13875.40,838.70,1222.00,7566.50,6570.00,683.50,526.80,19179.10,5155.20,635.60,2443.70,14.20,173.50,12644.10,107549.30,88330.70
