Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2017 State Total,2016 State Total
Albarino ,WHITE,2.60,2.20,44.00,75.20,30.10,0.30,368.00,385.70,35.60,19.50,174.30,0.00,27.60,0.00,0.00,34.90,943.70,2143.70,2111.50
Arneis ,WHITE,26.40,0.00,18.40,1.80,0.00,0.00,0.00,10.20,0.00,1.20,0.00,0.00,0.00,0.00,0.00,53.80,0.00,111.80,175.00
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2903.30,779.80,21321.20,0.00,0.00,0.00,0.00,25004.30,26067.70
Chardonnay * ,WHITE,23291.90,1889.80,61052.30,20683.80,4569.70,6356.00,102035.90,41776.30,18845.70,532.20,110851.70,55822.50,86690.70,35384.70,38.00,342.50,44401.70,614565.40,675966.10
Chenin Blanc ,WHITE,147.90,0.00,36.30,45.90,891.60,1.50,754.60,422.40,89.40,12.10,1204.00,3307.50,13896.90,0.00,0.00,12.90,14742.70,35565.70,42555.70
Cortese ,WHITE,4.70,0.00,0.00,0.00,15.80,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,42.50,75.60,71.70
Fiano ,WHITE,0.00,0.00,15.40,1.60,0.00,15.60,3.20,2.40,6.10,5.70,0.00,0.00,0.00,0.00,0.00,7.80,8.20,66.00,52.80
Flora ,WHITE,0.00,0.00,0.80,24.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.70,33.60
Folle Blanche ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.70
French Colombard ,WHITE,145.90,0.00,45.20,12.10,0.00,0.00,0.00,0.00,3489.00,1.10,3039.40,2650.00,282003.30,43658.50,0.00,0.00,717.80,335762.30,303480.00
Gewurztraminer ,WHITE,535.00,71.90,241.70,19.30,742.10,269.20,8884.10,85.00,15.90,5.90,142.60,0.00,0.00,0.00,0.00,64.70,5797.20,16874.60,18097.30
Gray Riesling * ,WHITE,0.00,0.00,65.70,0.00,0.00,0.00,0.00,0.00,0.00,0.40,29.90,0.00,0.00,0.00,0.00,0.00,0.00,96.00,87.40
Grenache Blanc ,WHITE,8.60,5.30,85.40,29.60,4.60,3.80,143.40,1052.80,14.60,59.10,111.20,3.10,333.40,0.00,0.00,20.50,46.20,1921.60,1427.50
