Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2017 State Total,2016 State Total
Gruner Veltliner ,WHITE,0.00,0.00,33.50,10.40,0.00,8.30,426.30,154.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.10,697.00,637.40
Malvasia Bianca ,WHITE,0.00,0.00,15.80,4.30,17.00,41.80,1455.20,122.90,0.00,1.10,1219.60,3046.60,135.50,0.00,0.00,8.90,0.00,6068.70,6215.70
Marsanne ,WHITE,19.00,8.60,64.40,23.50,0.00,5.90,103.50,169.50,7.00,45.10,5.10,0.00,15.80,0.00,0.00,11.40,0.00,478.80,394.60
Melon ,WHITE,0.00,0.00,12.70,0.00,0.00,0.00,0.00,19.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.50,20.60
Moscato Gaillo * ,WHITE,0.00,0.00,4.70,0.00,0.00,0.00,1.10,0.50,0.30,3.50,0.00,0.00,6.60,0.00,0.00,0.00,0.00,16.70,12.40
Muscat Blanc * ,WHITE,210.70,231.60,131.90,318.80,107.70,43.00,1118.40,428.40,213.40,33.70,2432.70,2300.60,6932.20,11944.60,6.00,321.00,411.30,27186.00,26369.30
Muscat Orange ,WHITE,36.00,24.50,0.00,0.00,0.00,20.70,33.50,270.80,286.70,36.60,853.80,970.70,672.20,0.00,0.00,11.50,46.40,3263.40,3789.60
Muscat of Alexandria ,WHITE,0.00,5.70,1.20,3.00,0.00,0.00,0.70,0.00,3795.40,7.00,7.30,8361.20,149137.10,42615.70,0.00,7.40,0.00,203941.70,170431.30
Palomino * ,WHITE,0.00,0.00,7.30,0.00,0.00,22.10,0.00,0.00,0.00,0.00,0.00,0.00,619.00,0.00,0.00,13.70,0.00,662.10,699.90
Pecorino ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,21.20
Picpoul Blanc ,WHITE,2.20,0.00,7.00,3.70,0.00,1.80,30.70,89.70,0.10,10.20,9.90,0.00,0.00,0.00,0.00,0.30,0.00,155.60,117.40
Pinot Blanc ,WHITE,131.20,0.00,241.70,91.40,0.00,0.00,692.60,136.30,0.00,4.10,0.00,2.30,0.00,0.00,0.00,0.00,0.00,1299.60,1417.00
Pinot Gris * ,WHITE,486.10,854.60,1498.80,395.40,2011.90,812.30,7587.50,2651.80,7990.20,126.50,58035.90,47647.20,71674.20,30427.90,1.90,170.80,20067.20,252440.20,243742.00
Ribolla Gialla * ,WHITE,0.00,0.00,12.20,28.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,41.30
Roussanne ,WHITE,86.40,93.60,102.10,64.10,0.00,15.70,80.00,557.20,6.80,91.90,52.10,0.00,12.30,0.00,0.00,75.00,0.00,1237.20,1143.60
Sauvignon Blanc ,WHITE,3539.90,14197.60,15815.20,12900.80,581.20,1328.10,8402.20,6891.70,1142.20,593.60,19352.30,4795.90,735.10,3844.40,23.50,165.20,12328.70,106637.60,107734.40
Sauvignon Gris ,WHITE,0.00,0.00,15.20,1.90,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00
Sauvignon Musque ,WHITE,89.90,242.20,421.00,251.70,0.00,0.00,62.60,0.00,1.90,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1070.30,1025.20
Sauvignon Vert * ,WHITE,0.00,0.00,9.60,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.60,18.80
Semillon ,WHITE,44.40,374.90,430.90,821.40,0.00,78.70,33.60,49.10,4.80,45.40,1134.60,0.00,433.80,0.00,0.00,6.50,835.40,4293.50,4100.40
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,10.30,0.00,4.30,8.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.30,47.20
Sylvaner ,WHITE,0.00,0.00,8.40,0.00,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,36.90
Symphony ,WHITE,0.00,0.00,0.00,0.00,101.90,0.00,0.00,0.00,0.00,0.00,1879.50,22779.00,11189.00,0.00,0.70,0.40,43.40,35993.90,24737.10
Tocai Friulano ,WHITE,23.30,0.00,6.90,5.80,0.00,0.00,0.00,24.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.90,75.40
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,11.50,18.40,0.00,0.00,0.00,0.00,0.10,0.00,32.30,40.10
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14117.50,0.00,0.00,0.00,0.00,14117.50,13833.00
Verdejo ,WHITE,0.00,0.00,3.90,0.70,0.00,0.00,0.00,10.10,71.70,7.90,28.80,0.00,11.80,0.00,0.00,0.00,4.10,139.00,71.80
Verdelho ,WHITE,0.00,0.00,1.70,4.50,16.40,15.60,2.80,50.30,143.30,34.10,2724.70,0.00,5.50,0.00,0.00,10.30,166.70,3175.90,3240.00
Vermentino * ,WHITE,2.70,0.00,101.30,18.90,0.00,0.00,2.50,115.20,39.10,73.30,618.60,0.00,0.00,0.00,0.00,76.30,0.00,1047.90,1307.30
Vernaccia ,WHITE,0.00,0.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90,26.10
Viognier ,WHITE,477.00,139.30,500.90,230.10,236.60,113.10,744.70,2229.30,481.50,294.80,9246.10,2448.20,61.50,2.00,7.70,245.20,2354.80,19812.80,22698.00
White Riesling * ,WHITE,279.70,139.90,198.00,266.20,129.30,6.00,7796.60,726.50,0.30,28.60,3519.50,16772.60,861.10,0.00,0.00,98.40,6434.30,37257.00,41274.80
Other White  1/ ,WHITE,7.30,0.00,48.30,14.50,2.60,10.70,12.10,74.30,8.40,12.60,2231.60,2804.70,3799.80,2788.40,1.00,29.40,81.10,11926.80,5951.00
Aglianico ,RED,0.00,0.40,17.30,2.80,1.80,0.00,0.00,51.90,13.00,29.50,17.90,4.50,8.50,0.00,0.00,37.30,3.90,188.80,142.90
Aleatico ,RED,0.00,0.00,17.90,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,23.50,26.90
Alicante Bouschet * ,RED,0.00,0.00,80.00,5.90,0.00,49.10,1.50,42.50,2.00,66.60,1596.10,2021.20,1153.20,342.80,4.30,23.60,0.00,5388.80,6327.70
Alvarinho ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
Arinarnoa ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,3297.70,0.00,0.00,0.00,0.00,3297.90,3496.00
Barbera ,RED,240.00,129.30,154.20,1.50,28.60,127.30,162.90,398.70,74.70,1601.40,1636.00,46.00,38393.30,277.20,0.00,100.90,33.40,43405.40,45750.10
Blaufraenkisch * ,RED,0.00,0.00,0.00,0.50,0.00,0.00,0.00,11.80,3.10,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,16.30,20.10
Cabernet Franc ,RED,48.30,562.90,1382.40,2907.10,79.50,239.50,633.60,1851.60,29.60,471.00,2534.80,1.40,92.70,1.20,19.40,276.20,107.10,11238.30,10472.20
Cabernet Sauvignon ,RED,12172.80,19764.20,43157.90,66732.50,1076.40,5847.10,36038.80,79960.00,6645.30,3021.60,163726.60,69397.40,74250.80,15832.60,215.20,1038.80,2594.90,601472.90,566486.70
Carignane ,RED,1064.40,11.00,260.40,32.20,42.40,312.70,8.10,155.40,0.00,28.80,1085.70,0.00,9065.80,0.00,0.00,43.60,2.20,12112.70,14397.10
Carmenere ,RED,2.10,0.00,4.50,13.50,0.00,0.00,0.00,16.50,0.00,0.30,5.60,0.00,0.00,0.00,0.00,7.90,0.00,50.40,48.50
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,889.90,0.00,0.00,0.00,0.00,889.90,2474.90
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1460.60,0.00,0.00,0.00,0.00,1460.60,986.20
Charbono ,RED,29.20,0.00,0.00,148.30,21.10,9.40,2.00,40.30,0.00,29.80,8.90,0.00,0.00,0.00,0.00,3.00,0.00,292.00,313.80
Ciliegiolo ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,1.00,5.70,10.70
Cinsaut * ,RED,0.00,3.80,33.60,0.50,0.00,8.20,39.30,76.90,0.00,30.50,145.40,0.00,0.00,0.00,0.00,95.70,7.20,441.10,501.70
Counoise ,RED,17.00,4.40,15.70,3.20,0.00,13.40,0.90,131.90,2.50,9.80,0.00,5.80,2.30,0.00,0.00,6.80,0.00,213.70,193.20
Dolcetto ,RED,66.10,1.00,18.00,7.80,8.50,7.90,3.60,39.00,0.00,30.50,38.90,0.00,4.70,0.00,0.00,12.60,4.80,243.40,380.20
Dornfelder ,RED,0.00,0.00,26.00,0.00,0.00,0.00,0.00,3.90,285.10,0.00,270.80,1206.00,0.00,0.00,0.00,0.00,0.00,1791.80,1531.50
Durif ,RED,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,28.40,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,31.40,33.90
Freisa ,RED,0.00,0.00,2.20,0.00,0.00,0.00,3.80,2.40,0.00,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,15.60
Gamay (Napa) * ,RED,78.70,0.00,11.50,53.80,278.40,1.60,400.80,357.40,0.00,9.10,0.00,0.00,474.60,0.00,0.00,0.00,170.40,1836.30,1704.30
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,40.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.30,35.90
Graciano ,RED,0.00,0.00,4.50,0.00,1.60,12.20,3.30,44.20,14.40,34.20,208.40,1.30,0.00,0.00,0.00,0.10,0.00,324.20,296.80
Grenache * ,RED,562.20,190.00,854.70,295.60,26.30,375.00,3088.70,6301.10,63.10,518.30,803.50,530.60,23102.30,977.10,60.20,224.90,26.20,37999.80,38684.40
Grignolino ,RED,0.00,0.00,0.00,31.40,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.90,51.90
Lagrein ,RED,0.00,0.00,14.00,16.50,0.00,0.00,0.00,168.50,0.00,6.40,257.10,0.00,0.00,0.00,0.00,0.00,0.00,462.50,451.10
Lambrusco ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.90,0.00,0.00,0.00,0.00,0.00,260.90,257.60
Malbec ,RED,267.20,858.20,1700.80,1564.60,54.90,400.70,3290.00,2617.80,1650.80,251.00,15205.90,2869.60,2746.00,3.70,11.40,218.00,94.00,33804.60,37058.50
Merlot ,RED,5297.50,1598.60,11611.00,13160.20,770.50,2196.80,25412.90,15386.90,2819.10,819.40,78443.50,31508.80,44553.90,14084.90,42.40,559.00,6930.40,255195.80,268761.60
Meunier * ,RED,14.60,0.00,537.00,319.00,0.00,0.00,3.40,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.30,785.20
Mission ,RED,0.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,13.20,31.50,0.00,930.40,0.00,11.30,6.00,0.00,994.80,2422.00
Monastrell ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,10.40,1.10,0.00,0.00,0.00,0.00,0.00,0.00,25.50,19.30
Montepulciano ,RED,9.50,8.60,44.20,2.00,9.90,4.40,6.30,10.00,57.80,29.40,27.90,33.40,165.40,0.00,0.00,108.50,0.00,517.30,573.50
Mourvedre * ,RED,35.70,130.80,158.20,32.90,60.10,906.20,110.90,1498.20,24.80,364.30,39.70,458.60,65.90,4.00,7.70,164.20,7.40,4069.60,4614.50
Muscat Hamburg * ,RED,0.00,0.00,3.40,0.10,0.00,0.00,1.60,13.20,0.20,9.60,163.30,662.70,327.60,0.00,0.00,0.00,0.00,1181.70,612.50
Nebbiolo ,RED,14.40,7.60,21.20,12.10,0.00,20.00,1.00,226.40,2.00,55.50,3.10,0.00,85.40,0.00,0.00,12.40,5.70,466.80,511.70
Negrette * ,RED,0.00,0.00,1.00,1.20,0.00,0.20,12.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,29.10
Negroamaro ,RED,10.30,0.00,2.50,1.70,0.00,0.00,0.00,83.30,1.40,5.40,0.00,0.00,0.00,0.00,0.00,4.00,0.00,108.60,73.00
Nero D'Avola * ,RED,20.40,2.70,0.00,2.00,0.00,0.00,0.00,2.60,0.00,1.00,0.00,67.20,1.60,0.00,1.20,0.00,3.30,102.00,73.70
Petit Verdot ,RED,169.40,226.70,915.60,2480.80,193.40,1332.90,1074.60,3934.90,3333.40,232.10,13158.70,6363.00,1807.40,5.80,7.80,69.00,11.90,35317.40,32087.40
Petite Sirah ,RED,2316.60,2645.00,2536.30,3204.00,1132.10,2472.00,2402.10,9020.00,5370.20,1107.60,40847.70,12632.80,2812.40,256.30,13.50,288.00,8551.40,97608.00,105041.80
Pinot Noir ,RED,9690.90,433.40,43439.10,8606.60,3910.00,1439.40,58861.50,24472.70,1961.80,74.00,37484.00,23911.10,11598.10,13299.90,23.50,59.10,24199.20,263464.30,254192.00
Pinotage ,RED,17.00,0.00,21.30,0.40,0.00,8.20,0.00,0.00,0.00,7.20,23.30,0.00,0.00,0.00,0.00,9.00,0.00,86.40,76.60
Primitivo ,RED,65.00,53.80,186.20,36.70,0.00,44.50,113.20,672.80,17.10,450.70,73.00,4.90,354.80,21.80,0.00,28.10,8.80,2131.40,1783.20
Refosco * ,RED,0.00,0.00,7.30,4.70,0.00,2.40,0.00,45.40,0.00,7.40,403.50,0.00,0.00,0.00,0.00,0.10,0.00,470.80,533.00
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,33.00,31.30
Rubired * ,RED,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,2453.90,0.00,2173.10,5788.30,183625.60,45574.50,0.00,5.50,0.00,239625.00,247539.20
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,779.30,1358.10,42222.60,15138.50,0.00,6.00,0.00,59505.20,54733.60
Sagrantino ,RED,0.00,0.00,6.20,0.00,0.00,9.50,1.00,5.00,0.00,6.40,0.00,19.60,7.30,0.00,0.00,4.80,0.00,59.80,53.40
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.50,0.00,1.40,0.00,327.90,448.10
Sangiovese * ,RED,338.00,33.40,916.80,432.80,70.50,154.30,316.30,718.90,28.00,542.50,1375.00,40.20,512.70,0.00,11.80,415.60,453.80,6360.60,6399.40
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,329.00,0.00,960.40,0.00,0.00,0.00,0.00,1290.20,1107.50
Souzao ,RED,3.80,2.40,2.70,0.00,0.00,10.10,12.00,17.20,0.00,19.40,195.80,0.00,365.80,0.00,0.00,0.00,8.40,637.60,554.20
St Laurent ,RED,0.00,0.00,24.20,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20,34.50
Syrah * ,RED,2203.10,918.80,3216.50,1851.90,261.20,659.50,8051.50,15755.10,3088.60,1560.30,19198.10,7068.00,34465.30,1066.80,69.30,631.70,648.70,100714.40,108406.60
Tannat ,RED,10.80,0.00,38.60,14.10,38.60,0.00,247.40,373.40,403.90,11.80,3528.20,1316.90,426.50,4.10,1.50,9.50,8.70,6434.00,6239.20
Tempranillo * ,RED,11.50,206.20,152.40,104.90,18.50,105.60,99.00,1335.60,815.50,363.70,1769.00,5.00,6857.50,0.00,9.40,208.70,307.10,12369.60,12409.70
Teroldego ,RED,0.00,0.90,3.30,0.00,0.00,0.00,46.10,56.80,709.20,20.80,6930.70,919.50,2109.90,0.00,0.00,6.10,737.70,11541.00,7964.30
Tinta Cao ,RED,3.50,0.00,7.70,0.00,0.00,8.50,5.40,12.70,0.00,23.50,20.80,0.00,361.90,0.00,0.00,5.40,0.00,449.40,485.10
Tinta Madeira ,RED,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,57.20,0.00,0.00,0.00,0.00,58.20,91.80
Touriga Nacional * ,RED,11.70,14.10,6.90,41.70,0.00,27.00,6.50,75.90,0.00,53.30,1876.60,3.20,2082.10,0.00,0.00,25.30,1.80,4226.10,2485.90
Trousseau * ,RED,2.80,10.60,8.50,0.00,5.30,0.00,2.50,8.30,0.00,12.50,2.80,0.00,0.00,0.00,0.00,0.00,0.00,53.30,75.30
Zinfandel ,RED,6330.00,1755.70,12874.50,3831.10,383.80,2426.60,808.20,8623.80,8046.70,7985.80,124199.40,10405.80,142301.90,30373.10,378.50,270.40,3838.60,364833.90,416648.00
Other Red  1/ ,RED,28.80,0.40,289.10,79.70,0.30,22.80,41.40,45.10,137.00,40.00,912.20,822.20,13083.90,4114.10,0.00,42.30,66.00,19725.30,10107.70
