Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2015 State Total,2014 State Total
Sylvaner ,WHITE,0.00,0.00,5.20,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,24.40
Symphony ,WHITE,4.20,0.00,0.00,0.00,150.20,92.50,0.00,0.00,0.00,0.00,2872.50,23544.90,11471.00,0.00,0.00,0.40,739.30,38875.00,30566.10
Tocai Friulano ,WHITE,24.50,0.00,7.20,8.20,0.00,0.00,12.90,22.30,0.00,0.20,1.60,0.00,0.00,0.00,0.00,0.00,0.00,76.90,149.00
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,15.10,0.00,0.00,0.00,0.00,0.00,0.00,17.10,31.70
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15398.90,0.00,0.00,0.00,0.00,15398.90,19509.70
Verdelho ,WHITE,0.00,0.00,0.80,1.60,16.10,13.30,2.10,22.50,165.70,23.10,1871.10,0.00,0.00,5.20,0.00,7.30,161.70,2290.50,1607.70
Vermentino * ,WHITE,0.00,3.50,76.10,6.20,0.00,0.00,2.90,44.30,48.60,45.00,751.60,0.00,0.00,0.00,0.00,28.10,0.00,1006.30,908.60
Vernaccia ,WHITE,0.00,0.00,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,17.10
Viognier ,WHITE,510.80,207.50,564.10,289.30,223.00,101.90,306.20,1321.70,332.10,262.10,9663.70,3929.10,77.00,0.00,3.40,166.30,1478.30,19436.50,24370.40
White Riesling * ,WHITE,254.00,238.90,240.60,233.40,268.20,2.70,8137.10,1074.10,11.30,24.90,4259.00,15395.90,1034.40,2.80,0.00,171.80,4529.50,35878.60,36516.70
Other White  1/ ,WHITE,6.10,0.00,34.50,14.10,0.00,9.50,3.40,43.00,32.40,6.70,3153.20,181.50,925.30,2074.40,0.00,17.80,54.00,6555.90,5765.50
Aglianico ,RED,0.70,0.50,16.40,2.70,0.00,5.60,0.00,30.00,15.70,16.90,1.60,8.00,0.80,0.00,0.00,19.70,6.30,124.90,168.10
Aleatico ,RED,3.30,0.00,12.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,17.00,24.10
Alicante Bouschet * ,RED,0.00,0.00,89.10,4.00,0.00,55.10,9.40,23.60,0.30,54.40,2094.10,1591.00,3180.10,95.30,8.60,11.30,0.00,7216.30,7096.00
Arinarnoa ,RED,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,346.70,0.00,0.00,0.00,0.00,347.20,333.30
Barbera ,RED,158.70,111.60,134.50,29.00,13.80,75.30,42.10,269.70,75.20,791.30,1145.20,55.40,48300.20,329.70,0.00,65.20,20.70,51617.60,44700.60
Blaufraenkisch * ,RED,0.00,0.00,1.40,0.00,0.00,0.00,0.00,16.80,5.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,24.10,51.60
Cabernet Franc ,RED,90.30,518.50,1357.80,2730.50,47.80,159.20,466.60,1321.10,18.70,312.10,2887.50,13.90,138.60,131.30,15.40,181.70,129.30,10520.30,13154.80
Cabernet Sauvignon ,RED,8575.70,14428.40,32947.30,53194.90,1050.30,3987.60,18776.80,32740.20,2423.20,2279.70,134347.10,62532.10,69004.30,16658.30,54.30,448.50,2144.80,455593.50,514507.20
Carignane ,RED,948.10,5.00,305.80,19.40,37.50,329.80,4.60,33.60,0.00,21.50,1057.30,0.00,8138.40,1370.00,0.00,14.70,0.30,12286.00,14073.90
Carmenere ,RED,2.50,0.00,6.30,5.40,0.00,0.90,0.00,3.10,0.60,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,24.00,36.70
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2767.60,17.80,0.00,0.00,0.00,2785.40,3751.70
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1212.60,0.00,0.00,0.00,0.00,1212.60,345.90
Charbono ,RED,30.40,0.00,0.00,133.00,12.10,0.80,0.00,28.20,0.00,25.00,3.70,0.00,74.40,0.00,0.00,3.60,0.00,311.20,366.30
Ciliegiolo ,RED,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9.40,0.00,0.00,0.00,0.00,0.00,11.10,107.60
Cinsaut * ,RED,0.00,0.20,21.30,2.30,0.00,30.30,38.50,49.10,0.00,26.80,126.40,0.00,48.00,0.00,0.00,67.40,13.10,423.40,462.20
Counoise ,RED,15.50,3.50,9.10,0.30,0.00,9.50,0.20,97.90,1.00,12.60,0.00,0.00,2.60,0.00,0.00,8.50,0.00,160.70,178.70
Dolcetto ,RED,63.20,0.00,27.70,15.50,6.80,4.60,2.50,58.60,0.00,25.50,41.90,0.00,2.00,0.00,0.00,21.40,2.60,272.30,298.60
Dornfelder ,RED,0.00,0.00,21.30,0.00,0.00,0.00,2.60,3.80,102.20,0.00,197.00,978.10,0.00,0.00,0.00,0.00,0.00,1305.00,1585.40
Durif ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,22.50,0.20,0.00,8.30,0.00,0.00,0.00,1.00,0.00,34.00,11.90
Freisa ,RED,0.00,0.00,2.20,0.00,0.00,0.00,0.00,3.40,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.40,24.10
Gamay (Napa) * ,RED,52.10,0.00,3.50,55.40,259.80,2.20,173.30,296.50,0.00,0.00,0.00,0.00,398.60,0.00,0.00,0.00,144.60,1386.00,1749.10
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,1.30,1.90,0.00,0.00,0.00,0.00,0.00,20.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,33.80
Graciano ,RED,0.00,0.10,8.10,0.00,1.60,5.40,7.80,8.10,20.70,27.00,182.40,2.40,0.00,0.00,0.00,0.00,0.40,264.00,258.50
Grenache * ,RED,383.10,195.20,567.40,193.10,10.70,377.40,1208.00,3966.60,588.80,436.00,505.40,1764.60,31110.60,870.90,37.80,157.80,10.70,42384.10,53313.20
Grignolino ,RED,0.00,0.00,0.00,28.70,0.00,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.10,35.50
Lagrein ,RED,0.00,0.00,7.80,12.80,0.00,0.00,0.00,141.30,0.00,7.60,162.90,0.00,0.00,0.00,0.00,0.00,0.00,332.40,288.30
Lambrusco ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.20,0.00,0.00,0.00,0.00,0.00,215.20,35.20
Malbec ,RED,259.90,648.10,1896.30,1385.50,100.20,318.40,1459.20,1232.70,1979.80,134.80,12743.90,1966.30,3407.00,1.90,6.80,99.90,123.70,27764.40,28020.60
Mataro * ,RED,18.50,115.80,149.70,33.60,7.20,917.50,128.10,1115.50,30.50,363.70,140.60,441.60,39.60,0.00,5.20,118.10,8.00,3633.20,3413.10
Merlot ,RED,6405.90,1573.40,12031.40,14026.50,736.80,1753.80,24204.30,15740.20,966.60,728.10,73575.70,31738.30,46728.80,14876.80,29.90,277.20,7495.50,252889.20,283583.60
Meunier * ,RED,14.50,0.00,301.60,220.30,0.00,0.00,0.50,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,537.30,918.60
Mission ,RED,0.00,0.00,0.00,0.00,0.00,2.70,0.00,4.20,0.00,18.40,11.10,0.00,5650.00,0.00,8.50,5.70,0.00,5700.60,6910.60
Montepulciano ,RED,17.20,0.00,40.20,2.10,0.00,21.60,1.60,7.40,15.70,27.70,14.70,117.30,61.80,0.00,0.00,59.80,0.00,387.10,504.30
Muscat Hamburg * ,RED,0.00,0.00,3.90,0.00,0.40,0.00,1.10,10.30,0.20,14.70,0.00,204.50,396.80,0.00,0.00,0.00,0.00,631.90,736.80
Nebbiolo ,RED,14.40,4.50,30.60,10.10,0.00,20.10,0.00,134.10,1.60,39.70,0.00,0.00,131.20,0.00,0.00,10.30,10.60,407.20,549.70
Negrette * ,RED,0.00,0.00,0.00,0.00,0.00,0.10,1.80,18.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.80,28.30
Negroamaro ,RED,7.30,0.00,12.90,1.40,0.00,0.00,0.00,65.50,2.30,0.00,0.00,1.50,4.40,0.00,0.00,1.20,0.00,96.50,102.60
Nero D'Avola * ,RED,5.40,0.00,16.10,1.60,0.00,0.00,0.00,0.10,0.00,0.00,17.80,12.30,1.70,0.00,0.00,0.80,3.60,59.40,127.00
Petit Verdot ,RED,99.50,251.20,953.40,1985.30,72.80,707.40,1047.30,2234.90,1906.60,162.70,6956.70,4138.80,1527.50,7.00,4.20,53.30,16.00,22124.60,21027.00
Petite Sirah ,RED,1997.30,2191.60,2347.40,2740.40,461.90,2163.90,1629.80,7191.70,3199.00,823.20,32374.70,9401.60,1793.20,255.00,7.00,152.20,6442.50,75172.40,68326.50
Pinot Noir ,RED,6514.30,158.70,30667.20,6248.10,4223.80,842.40,31968.90,17012.20,2014.90,43.90,24562.00,23007.90,11148.00,10577.80,11.30,27.90,15939.90,184969.20,246905.60
Pinotage ,RED,12.50,0.00,14.50,0.60,0.00,1.10,0.00,0.00,0.00,4.30,43.40,0.00,0.00,0.00,0.00,4.00,0.00,80.40,115.10
Primitivo ,RED,278.40,57.10,116.30,61.30,3.90,29.60,100.60,681.40,4.80,258.00,226.80,4.50,1.80,2.60,0.00,21.00,12.70,1860.80,1522.50
Refosco * ,RED,0.00,0.00,0.10,4.00,0.00,1.60,0.00,38.20,1.00,4.20,273.50,0.00,0.00,0.00,0.00,1.40,0.00,324.00,439.90
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.60,0.00,0.00,0.00,0.00,37.60,31.80
Rubired * ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1415.90,0.00,1539.80,6305.20,217395.50,52852.20,0.00,7.00,0.00,279515.60,242153.10
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,411.70,0.00,0.80,0.00,676.40,2243.90,51955.90,12388.90,0.00,8.50,0.00,67686.10,68845.80
Sagrantino ,RED,0.00,0.00,20.50,1.70,0.00,0.00,0.00,2.50,0.00,3.70,0.50,8.40,0.00,0.00,0.00,2.40,0.00,39.70,42.70
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.60,0.00,1.00,0.00,355.60,832.30
Sangiovese * ,RED,249.40,38.00,929.30,399.10,39.40,113.40,202.90,470.10,53.50,401.10,1714.80,77.40,236.60,204.30,10.80,317.50,273.70,5731.30,7504.70
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.70,0.00,503.60,0.00,0.00,0.00,0.00,762.30,874.10
Souzao ,RED,5.80,2.60,3.20,0.00,0.00,4.70,23.80,20.40,0.20,18.00,231.50,1.00,166.60,0.00,0.00,0.00,0.00,477.80,575.10
St Laurent ,RED,0.00,0.00,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.40,13.50
Syrah * ,RED,1910.20,949.80,2848.10,1745.00,190.10,536.80,5120.80,10201.60,3115.10,1219.70,18686.50,10140.60,34175.00,1363.10,26.30,351.90,679.50,93260.10,113784.20
Tannat ,RED,12.90,0.00,67.60,14.30,16.30,0.00,214.70,304.00,363.40,8.60,2889.80,1579.30,400.30,6.20,0.80,6.00,7.80,5892.00,4315.50
Tempranillo * ,RED,3.30,187.00,134.60,77.50,12.70,96.00,67.70,1220.80,808.90,299.60,1619.80,21.80,6337.00,1.00,7.70,115.70,162.10,11173.20,11254.70
Teroldego ,RED,0.00,0.00,0.70,0.00,0.00,0.00,13.90,54.10,50.70,10.50,1761.60,24.60,7.20,0.00,0.00,1.60,88.70,2013.60,646.60
Tinta Cao ,RED,3.50,0.00,10.50,0.60,0.00,4.40,4.10,24.60,0.10,19.80,9.40,0.00,495.30,0.00,0.00,5.60,0.00,577.90,450.70
Tinta Madeira ,RED,0.00,0.00,1.10,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,93.90,0.00,0.00,0.00,0.00,96.10,145.50
Touriga Nacional * ,RED,14.70,15.30,7.30,56.60,0.00,10.90,8.70,40.50,0.30,52.70,1088.60,10.40,414.20,0.00,0.00,11.30,0.00,1731.50,2053.70
Trousseau * ,RED,1.40,7.10,4.70,0.00,0.00,0.00,3.30,4.00,0.00,3.70,17.40,0.00,0.00,0.00,0.00,0.00,0.00,41.60,76.50
Zinfandel ,RED,5567.30,1758.00,13070.90,4009.00,351.70,2412.40,290.10,7042.20,7480.00,6860.40,119276.00,17631.20,165885.50,32869.20,94.80,168.40,3629.30,388396.40,355321.60
Other Red  1/ ,RED,26.30,0.30,296.30,108.20,0.00,23.50,13.60,21.10,11.30,46.40,711.90,401.40,13395.90,2234.00,8.00,20.70,59.30,17378.20,12212.50
