Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2019 State Total,2018 State Total
Albarino ,WHITE,3.30,0.00,73.40,99.90,207.60,3.60,395.20,348.00,27.60,49.60,865.40,3.20,19.00,0.00,0.80,72.40,1432.60,3601.60,2628.10
Arneis ,WHITE,35.20,0.00,10.50,2.20,0.00,0.00,0.00,23.40,0.00,2.60,7.40,0.00,0.00,0.00,0.00,31.90,0.00,113.20,100.10
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2647.10,805.40,20279.70,0.00,0.00,0.00,0.00,23732.20,27221.40
Chardonnay * ,WHITE,22340.50,2141.30,72135.90,22856.00,4114.30,5058.20,86903.60,35585.10,18699.10,699.20,127325.10,55753.80,98287.60,28980.40,13.80,256.00,60917.20,642067.10,711739.40
Chenin Blanc ,WHITE,133.10,2.60,47.10,59.90,438.70,4.10,679.00,432.20,116.10,32.50,2001.10,4521.50,16948.90,0.00,0.00,8.00,11326.80,36751.60,38525.10
Cortese ,WHITE,9.30,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.30,71.60,93.20
Fiano ,WHITE,0.00,0.00,18.10,2.20,0.00,16.70,0.00,7.70,9.20,12.50,8.10,0.00,0.00,0.00,0.00,10.00,9.50,94.00,69.80
Flora ,WHITE,0.00,0.00,0.00,20.80,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.50,26.50
French Colombard ,WHITE,149.50,0.00,56.40,0.00,0.00,0.00,0.00,0.00,4119.50,2.00,3058.90,0.00,273909.10,40162.70,0.00,0.00,1116.50,322574.60,306354.60
Gewurztraminer ,WHITE,515.50,86.20,220.30,16.40,237.90,0.10,6175.00,71.40,10.90,6.40,128.50,0.00,0.00,0.00,0.00,47.80,5946.00,13462.40,16839.40
Gray Riesling * ,WHITE,0.00,0.00,39.40,0.00,0.00,0.00,0.00,0.00,0.00,0.60,30.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,64.60
Grenache Blanc ,WHITE,1.00,2.50,80.90,86.60,3.50,2.00,102.40,809.20,24.50,68.60,86.00,0.00,313.70,0.00,3.10,28.60,0.00,1612.60,1715.20
Grenache Gris ,WHITE,10.90,0.00,0.00,0.00,0.00,0.00,35.20,5.90,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.80,0.00
Gruner Veltliner ,WHITE,3.10,0.00,32.30,10.20,0.00,6.60,364.90,173.70,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.20,670.10,675.00
Malvasia Bianca ,WHITE,0.00,0.00,26.10,9.60,15.80,52.40,546.10,90.20,0.50,5.60,1105.00,2865.40,22.50,0.00,0.00,8.70,0.00,4747.90,5700.10
Marsanne ,WHITE,15.90,8.10,73.20,30.50,0.00,9.20,42.40,124.60,1.00,65.80,0.00,0.00,32.10,0.00,0.00,14.40,0.00,417.20,476.00
Melon ,WHITE,0.00,0.00,14.10,0.00,0.00,0.00,9.90,30.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.60,25.80
Moscato Gaillo * ,WHITE,0.00,8.30,9.20,0.00,0.00,0.00,0.00,0.80,0.00,3.20,0.00,0.00,10.60,0.00,0.00,0.00,0.00,32.10,18.00
Muscat Blanc * ,WHITE,203.10,274.90,90.10,205.90,95.50,62.80,538.40,379.10,357.90,33.10,2983.20,2545.70,9089.60,11389.50,1.80,263.50,439.30,28953.40,27212.10
Muscat Orange ,WHITE,66.70,15.10,0.00,0.00,0.00,0.00,12.00,213.00,454.30,53.10,606.30,1000.00,841.40,0.00,0.00,14.80,50.60,3327.30,3369.70
Muscat of Alexandria ,WHITE,0.00,0.00,1.90,4.00,0.00,0.00,0.00,0.00,4021.80,7.40,26.50,11106.00,144557.40,34450.90,2.00,6.70,90.40,194275.00,175554.20
Palomino * ,WHITE,0.00,0.00,7.70,0.00,0.00,18.90,0.00,0.00,0.00,0.00,0.00,0.00,742.60,0.00,10.00,23.90,0.00,803.10,696.30
Pecorino ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,13.30
Picpoul Blanc ,WHITE,1.40,0.60,5.60,6.60,0.00,1.80,35.00,78.00,0.30,28.60,27.40,0.00,12.20,0.00,0.00,9.40,0.00,206.90,163.00
Pinot Blanc ,WHITE,155.80,1.10,297.00,70.10,0.00,12.10,754.40,75.30,0.00,1.20,0.70,0.00,0.00,0.00,0.00,7.80,0.00,1375.50,1421.30
Pinot Gris * ,WHITE,364.00,526.50,1410.40,336.40,1847.40,573.60,7885.90,2684.10,8399.40,102.30,70253.80,42712.90,74705.70,13074.50,1.00,157.10,21890.30,246925.30,275615.70
Ribolla Gialla * ,WHITE,0.00,0.00,18.40,27.90,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,50.30,34.60
Roussanne ,WHITE,72.20,80.20,112.80,46.40,0.00,11.80,40.90,363.00,12.50,82.20,47.10,0.00,11.50,0.00,0.00,92.60,0.00,973.20,1126.60
Sauvignon Blanc ,WHITE,3830.70,15952.50,18074.20,13257.50,814.90,965.70,7502.50,8665.60,822.60,638.20,24406.80,5132.50,992.70,3582.40,12.50,224.40,15645.80,120521.50,118086.70
Sauvignon Gris ,WHITE,0.00,0.00,24.30,5.40,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.20,74.10
Sauvignon Musque ,WHITE,91.70,152.30,458.90,276.70,0.00,0.00,40.50,14.70,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1036.10,985.40
Sauvignon Vert * ,WHITE,0.00,0.00,7.80,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.20,29.10
Semillon ,WHITE,80.20,266.90,396.30,647.50,0.00,74.10,31.20,48.50,8.80,52.80,1099.00,0.00,0.00,0.00,0.00,7.90,530.60,3243.80,3439.20
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,5.70,0.00,2.70,4.90,1.10,0.00,0.00,0.00,0.00,0.00,2.30,0.00,16.70,19.60
