Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2019 State Total,2018 State Total
Sylvaner ,WHITE,0.00,0.00,12.90,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.90,17.10
Symphony ,WHITE,0.00,0.00,0.00,0.00,134.20,0.00,0.00,0.00,0.00,0.00,1899.50,20524.70,10103.70,1.00,0.00,0.40,148.30,32811.80,30518.50
Tocai Friulano ,WHITE,27.00,0.00,7.20,10.20,0.00,0.00,0.00,15.40,0.00,4.60,2.20,0.00,0.00,0.00,0.00,0.00,0.00,66.60,91.20
Torrontes ,WHITE,0.00,0.00,0.00,1.10,0.00,0.00,0.00,11.80,0.00,0.00,19.90,0.90,0.00,0.00,0.00,0.00,0.00,33.70,56.20
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12863.00,0.00,0.00,0.00,0.00,12863.00,12720.00
Verdejo ,WHITE,0.00,0.00,3.40,2.00,1.80,0.00,0.00,14.80,78.80,16.30,19.00,0.00,0.00,0.00,0.00,0.00,7.00,143.10,162.60
Verdelho ,WHITE,0.00,0.00,1.00,9.70,12.40,16.40,1.60,53.90,180.90,32.10,2758.00,7.00,15.00,0.00,0.00,12.80,184.10,3284.90,2790.10
Vermentino * ,WHITE,2.40,4.20,154.70,34.50,0.00,0.00,32.60,122.50,37.70,115.70,816.90,0.00,0.00,0.00,0.00,95.70,0.00,1416.90,1274.40
Vernaccia ,WHITE,0.00,0.00,24.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00,0.00,0.00,0.00,31.10,27.20
Viognier ,WHITE,414.80,168.80,524.30,207.00,176.40,102.60,372.80,1874.50,496.80,327.70,8791.20,1924.10,94.10,1.10,3.70,217.40,2527.50,18224.80,19770.30
White Riesling * ,WHITE,299.60,46.30,224.50,237.70,417.30,9.40,5608.50,587.70,8.70,35.50,2575.70,16723.60,748.30,0.00,2.00,91.30,6413.30,34029.40,36345.50
Other White  1/ ,WHITE,5.20,0.00,45.10,23.40,1.80,15.80,28.80,109.80,18.90,24.10,2575.50,0.00,162.90,4050.00,36.30,54.00,70.40,7222.00,10085.10
Aglianico ,RED,1.60,3.70,28.60,1.80,4.70,0.00,0.00,41.50,8.10,44.50,77.10,5.60,3.10,0.00,0.00,34.10,4.80,259.20,255.30
Aleatico ,RED,0.00,0.00,16.70,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,0.00,25.00,29.50
Alicante Bouschet * ,RED,0.00,1.30,100.60,6.00,0.00,71.10,3.10,54.20,2.20,45.60,2232.60,2446.80,954.20,0.00,8.60,24.70,0.00,5951.00,7629.50
Alvarinho ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,1.50,0.00,0.00,0.00,0.00,7.00,3.00
Arinarnoa ,RED,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,1923.00,0.00,0.00,0.00,0.00,1923.70,2775.30
Barbera ,RED,193.30,102.10,168.50,2.30,10.40,95.80,33.70,294.70,50.50,1418.80,1085.30,60.60,34462.60,2315.80,3.50,102.80,19.20,40419.90,45234.80
Blaufraenkisch * ,RED,0.00,0.00,0.50,0.30,0.00,0.00,0.00,22.40,5.80,0.00,0.20,2.00,0.00,0.00,0.00,0.00,0.00,31.20,23.40
Cabernet Dorsa ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.30,0.00,0.00,390.00,0.00,1277.90,0.00,0.00,0.00,0.00,1695.20,0.00
Cabernet Franc ,RED,83.60,332.70,1533.40,3238.80,50.70,371.10,602.00,2232.90,21.70,451.40,2345.20,0.00,81.00,1.10,4.40,352.80,120.10,11822.90,11957.90
Cabernet Sauvignon ,RED,12944.20,19225.40,45948.30,81810.30,1378.00,6181.90,29257.40,78508.20,6596.40,3113.40,164118.40,57598.50,56671.70,14224.40,66.50,1064.90,2237.30,580945.20,679476.00
Carignane ,RED,978.60,0.00,416.50,17.30,54.90,460.60,6.10,157.30,0.50,33.30,1173.60,5.20,9072.60,0.00,0.00,57.90,0.50,12434.90,14227.50
Carmenere ,RED,2.30,0.40,7.10,14.50,0.00,1.40,0.00,11.70,0.00,1.20,19.70,0.00,0.00,0.00,0.00,7.90,0.00,66.20,71.10
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,49.00,115.90
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1366.90,0.00,0.00,0.00,0.00,1366.90,972.90
Charbono ,RED,25.90,4.70,2.00,164.40,12.10,11.60,1.80,41.10,0.00,31.30,14.00,0.00,2.00,0.00,0.00,0.00,0.00,310.90,300.80
Ciliegiolo ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,4.80,0.00,0.00,0.00,0.00,0.00,6.30,2.70
Cinsaut * ,RED,4.80,2.80,40.70,0.90,0.00,14.10,77.50,120.00,0.00,44.90,156.40,0.00,0.00,0.00,0.00,68.10,5.70,535.90,492.10
Counoise ,RED,6.30,0.50,14.30,9.80,0.00,13.40,0.00,92.50,4.50,18.60,0.00,9.40,4.70,0.00,0.00,17.20,0.00,191.20,189.90
Dolcetto ,RED,86.80,2.10,16.60,2.40,6.70,5.80,9.70,33.10,0.00,35.50,23.80,0.00,0.00,0.00,0.00,4.90,0.00,227.40,293.50
Dornfelder ,RED,0.00,0.00,0.00,0.00,0.00,2.30,10.30,2.70,376.80,0.00,358.50,1020.20,0.00,0.00,0.00,0.00,0.00,1770.80,1599.50
Durif ,RED,0.00,0.00,3.50,0.00,0.00,1.20,0.00,0.00,17.30,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,23.80,61.60
Freisa ,RED,0.00,0.00,0.00,0.00,0.00,0.00,2.30,3.10,0.00,5.20,0.00,4.50,0.00,0.00,0.00,0.00,0.00,15.10,19.80
Gamay (Napa) * ,RED,67.60,0.00,24.80,80.30,260.70,2.80,243.30,335.40,0.00,21.10,2.00,0.00,47.90,0.00,0.00,0.00,132.10,1218.00,1362.30
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,1.80,2.80,0.00,0.00,0.00,1.20,0.00,35.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.10,55.80
Graciano ,RED,0.20,0.00,0.20,0.00,0.80,0.00,3.80,208.40,6.60,30.70,535.60,8.00,0.00,0.00,0.00,0.00,0.50,794.80,582.50
Grenache * ,RED,572.90,214.80,806.10,344.20,126.60,507.90,3118.60,5524.20,85.70,625.00,947.30,945.20,19637.10,1247.50,18.10,364.50,44.80,35130.50,40881.30
Grignolino ,RED,0.00,0.00,0.00,30.60,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.20,43.20
Lagrein ,RED,0.00,0.00,10.20,6.50,0.00,0.00,0.00,189.80,0.00,9.20,316.20,0.00,0.00,0.00,0.00,0.00,0.00,531.90,454.10
Lambrusco ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383.40,0.00,0.00,0.00,0.00,0.00,383.40,333.30
Malbec ,RED,432.20,925.90,1863.00,2120.30,69.60,427.60,3139.00,2417.70,2067.70,210.00,18766.00,5710.70,4861.00,0.90,9.90,238.80,115.50,43375.80,44411.60
Merlot ,RED,3933.20,1126.60,12312.30,12355.50,629.00,2142.50,18475.50,10276.00,3437.90,841.00,71269.00,20867.90,40262.60,14598.20,49.20,619.00,7244.80,220440.20,258990.10
Meunier * ,RED,8.40,0.00,497.80,213.90,0.00,0.00,2.40,5.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,728.30,842.10
Mission ,RED,0.00,0.00,0.00,0.60,0.00,0.20,0.00,1.30,0.00,15.00,33.70,3.90,878.20,2.60,0.00,32.90,0.00,968.40,1047.60
Monastrell ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,6.10,0.00,0.00,0.00,0.00,4.70,0.00,12.80,10.40
Montepulciano ,RED,10.70,8.50,29.90,2.40,0.00,1.60,7.10,15.20,56.00,36.60,41.40,211.70,97.10,0.00,0.00,153.10,0.00,671.30,779.00
Mourvedre * ,RED,35.10,94.00,182.80,39.60,22.30,1037.20,99.30,1222.00,29.80,419.20,97.10,4.80,55.30,0.00,1.00,158.50,7.30,3505.30,3727.30
Muscat Hamburg * ,RED,0.00,0.00,4.10,0.00,0.70,0.00,4.00,11.50,0.40,9.00,145.50,171.90,670.90,0.00,0.00,0.00,0.00,1018.00,1052.50
Nebbiolo ,RED,22.10,3.10,37.50,17.70,0.00,18.80,2.20,204.50,7.20,83.00,20.50,0.00,113.40,0.00,0.00,16.50,7.30,553.80,488.00
Negrette * ,RED,0.00,0.00,0.00,1.40,0.00,0.10,13.10,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.30,0.00,16.00,8.80
Negroamaro ,RED,7.10,2.40,6.00,3.50,0.00,0.00,0.00,66.20,1.30,10.90,0.00,4.90,0.00,0.00,0.00,6.70,0.00,109.00,99.70
Nero D'Avola * ,RED,7.40,7.10,8.30,2.20,0.00,0.00,0.00,29.60,0.50,2.70,42.60,14.80,5.70,0.00,0.00,0.00,2.60,123.50,90.40
Petit Verdot ,RED,113.90,317.60,1025.00,2574.20,167.60,1580.40,909.70,3669.10,4012.90,225.90,13765.00,7470.80,1672.40,4.00,4.40,74.20,11.30,37598.40,37369.70
Petite Sirah ,RED,1998.30,2549.40,2628.30,3294.30,2112.50,2463.70,2108.40,7707.10,4633.00,1037.50,42100.50,13339.00,3427.70,164.40,2.30,395.00,8632.40,98593.80,108695.30
Pinot Noir ,RED,10013.40,454.70,47178.30,8606.00,6134.60,1430.60,55232.70,26341.30,1936.20,90.40,44520.80,18640.70,10772.60,8212.60,14.50,50.60,27185.40,266815.40,313848.20
Pinotage ,RED,18.70,0.00,17.80,0.00,0.00,7.40,0.00,0.00,0.00,0.00,19.60,1.00,0.00,0.00,0.00,9.70,0.00,74.20,86.70
Primitivo ,RED,66.10,8.30,236.00,55.30,2.90,54.00,232.40,892.00,10.00,393.70,283.90,6.40,522.00,199.70,0.00,36.00,11.70,3010.40,2543.20
Refosco * ,RED,0.20,0.70,2.50,5.40,0.00,2.40,1.80,40.00,0.00,5.70,3.00,0.00,0.00,0.00,0.00,0.10,0.00,61.80,66.70
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.10,0.00,0.00,0.00,0.00,45.10,33.60
Rubired * ,RED,0.00,0.00,0.00,0.00,6.70,0.00,0.00,0.00,2406.00,0.00,2006.80,3260.60,194777.00,49641.20,0.00,2.90,0.00,252101.20,252202.60
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,253.70,894.50,23786.50,10369.10,0.00,9.30,0.00,35313.90,46968.90
Sagrantino ,RED,0.00,2.30,15.40,1.30,0.00,7.90,0.00,5.00,0.00,9.50,1.00,7.50,0.00,0.00,0.00,16.90,0.00,66.80,64.20
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Sangiovese * ,RED,530.80,29.30,993.40,454.80,109.00,184.00,203.10,691.10,15.20,602.60,712.10,1.00,477.50,0.00,5.60,454.00,351.10,5814.60,6267.10
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.00,0.00,761.70,0.00,0.00,0.00,0.00,1086.70,1283.30
Souzao ,RED,2.10,4.80,1.50,0.00,0.00,7.00,24.50,12.70,0.30,16.30,172.10,0.00,841.50,0.00,0.00,0.00,0.00,1082.80,1066.70
St Laurent ,RED,0.00,2.50,21.90,5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.80,42.00
Syrah * ,RED,1827.10,635.70,3334.30,1735.20,283.70,527.60,7371.00,10865.30,3194.50,1411.20,13170.70,4318.30,31892.10,1046.40,37.00,614.60,581.20,82845.90,94358.50
Tannat ,RED,15.20,0.00,39.60,37.70,1.40,0.50,163.10,331.50,865.70,23.40,4234.80,1318.20,555.30,6.40,3.80,17.30,70.00,7683.90,6519.20
Tempranillo * ,RED,34.40,155.60,154.70,139.50,11.80,112.00,142.80,1015.90,536.10,404.80,1285.70,55.30,6237.70,0.00,10.50,243.50,215.00,10755.30,12848.50
Teroldego ,RED,0.00,0.00,4.20,0.00,46.50,317.90,48.80,58.50,1077.60,22.00,14734.30,1070.00,1549.90,0.00,0.00,4.50,1060.40,19994.60,15846.80
Tinta Cao ,RED,2.10,0.00,10.60,3.70,0.00,4.20,2.30,15.30,0.20,15.40,28.30,0.00,563.00,0.00,0.00,5.40,0.00,650.50,548.20
Tinta Madeira ,RED,0.00,0.00,0.00,1.90,0.00,0.00,0.00,2.40,0.30,0.00,0.00,0.00,52.10,0.00,0.00,0.00,0.00,56.70,66.10
Touriga Nacional * ,RED,15.20,21.00,5.10,40.90,0.00,21.20,5.10,63.60,2.90,68.80,1996.00,4.50,2347.80,0.70,0.00,18.30,0.00,4611.10,4550.00
Trousseau * ,RED,4.40,20.90,12.00,1.20,0.00,0.00,5.80,16.90,0.00,11.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,76.80,63.10
Zinfandel ,RED,4793.60,1240.90,14817.70,3589.70,420.70,2353.70,741.10,5431.30,5663.60,5872.00,114488.60,4744.30,148413.80,32967.00,381.90,335.90,2805.60,349061.40,387842.90
Other Red  1/ ,RED,46.20,5.50,471.30,61.10,0.90,89.40,37.50,81.30,716.00,17.70,206.60,1008.70,3780.20,3299.00,3.20,10.20,53.50,9888.30,32965.60
