Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2012 State Total,2011 State Total
Albarino ,WHITE,2.60,0.80,24.10,64.00,8.10,0.00,439.70,351.50,11.10,19.20,40.30,0.00,38.10,0.00,0.00,11.30,364.50,1375.30,952.50
Arneis ,WHITE,37.10,0.00,107.20,0.10,0.00,0.00,23.50,26.80,0.50,0.00,0.00,3.40,0.00,0.00,0.00,17.80,0.00,216.40,125.60
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2884.20,2381.80,26017.40,1821.10,0.00,0.00,2159.00,35263.50,29982.50
Chardonnay * ,WHITE,24447.90,1725.90,81581.60,31932.70,6109.40,7940.80,103330.50,46341.20,22963.70,767.30,155503.70,66621.00,96164.30,40972.40,51.80,234.70,49089.00,735777.90,558794.60
Chenin Blanc ,WHITE,96.60,0.00,19.20,95.90,1449.70,0.00,1240.90,978.40,112.10,50.80,3579.50,1892.10,30084.80,5154.00,0.00,17.60,13308.50,58080.10,54460.90
Cortese ,WHITE,2.90,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.10,0.00,16.00,26.30
Emerald Riesling ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,665.00,0.00,0.00,0.00,665.00,576.00
Fiano ,WHITE,0.00,0.00,4.30,0.40,2.20,8.90,0.00,1.30,3.00,2.80,2.00,0.00,0.00,0.00,0.00,0.00,5.50,30.40,13.80
Flora ,WHITE,1.50,0.00,0.00,28.60,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.90,31.60
Folle Blanche ,WHITE,0.00,0.00,18.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20,19.30
French Colombard ,WHITE,67.60,0.00,116.60,0.80,0.00,2.20,0.00,0.00,152.80,0.00,2773.60,10758.40,262012.70,35661.60,0.00,0.00,65.20,311611.50,313901.50
Gewurztraminer ,WHITE,1030.80,437.50,640.00,33.80,123.00,5.70,8486.40,916.50,18.70,6.80,140.10,2296.40,76.30,0.00,0.00,37.40,2590.00,16839.40,11176.20
Gray Riesling * ,WHITE,0.00,0.00,41.10,5.20,0.60,0.00,0.00,0.00,0.00,0.00,32.60,0.00,0.00,0.00,0.00,0.00,0.00,79.50,37.50
Grenache Blanc ,WHITE,0.00,0.00,27.90,29.50,2.10,3.60,45.60,885.20,23.80,51.20,52.10,0.00,0.00,0.00,0.00,38.70,0.00,1159.70,648.80
Gruner Veltliner ,WHITE,0.00,0.00,1.70,10.20,0.20,1.20,359.60,89.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.30,555.30,426.80
Kerner ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,7.30,3.20
Malvasia Bianca ,WHITE,0.00,0.00,33.40,9.20,0.00,34.80,739.20,113.00,1.10,3.30,1189.30,3932.30,1063.50,0.00,0.00,8.50,0.00,7127.60,6035.50
Marsanne ,WHITE,20.80,74.50,57.00,54.70,0.00,15.50,81.70,272.40,2.90,54.00,151.50,0.00,2.80,0.00,0.00,1.70,0.00,789.50,601.70
Melon ,WHITE,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,20.70
Moscato Gaillo * ,WHITE,0.60,0.00,5.40,0.00,0.00,0.00,0.00,0.00,1.10,4.00,65.50,0.00,0.00,0.00,0.00,6.90,0.00,83.50,37.50
Muscat Blanc * ,WHITE,269.90,340.60,101.60,404.70,60.10,9.80,829.10,1081.40,9.50,60.10,2349.80,1997.50,10339.30,18229.50,4.80,190.00,371.70,36649.40,23464.70
Muscat Orange ,WHITE,32.10,0.00,0.00,13.50,16.80,27.70,98.10,162.00,0.00,66.50,608.10,752.80,635.20,0.00,0.40,5.50,42.10,2460.80,2044.70
Muscat of Alexandria ,WHITE,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.90,4959.40,1.20,299.50,965.70,42769.40,29416.80,0.00,2.90,0.00,78417.60,65603.20
Palomino * ,WHITE,0.00,0.00,4.10,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1202.60,0.00,13.00,20.40,0.00,1251.10,1472.80
Picpoul Blanc ,WHITE,0.00,0.30,4.70,1.00,0.00,0.00,9.90,38.70,1.20,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.80,19.50
Pinot Blanc ,WHITE,113.50,11.60,368.80,59.50,0.00,6.80,881.40,299.30,0.00,2.50,0.00,0.00,0.00,54.60,0.00,0.00,0.00,1798.00,859.90
Pinot Gris * ,WHITE,546.10,475.00,2701.00,997.20,5066.50,1331.10,8961.50,3536.40,2781.40,132.50,51933.70,41599.00,33529.80,25553.00,1.20,95.80,16211.50,195452.70,173568.20
Ribolla Gialla * ,WHITE,0.00,0.00,2.70,23.10,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.30,13.20
Roussanne ,WHITE,87.40,43.90,95.40,68.50,0.00,14.20,57.40,637.10,11.60,120.80,64.70,0.00,4.50,0.00,0.00,70.80,0.00,1276.30,998.30
Sauvignon Blanc ,WHITE,3251.50,8592.10,17159.40,14805.50,842.40,1481.30,8542.40,6250.90,1028.30,669.50,22516.20,5353.50,3611.80,3555.10,32.00,169.70,15407.00,113268.60,79074.60
Sauvignon Musque ,WHITE,0.50,149.50,363.90,348.20,20.90,15.60,49.00,0.10,0.20,0.00,4.20,0.00,0.50,0.00,0.00,0.00,0.00,952.60,609.40
Sauvignon Vert * ,WHITE,0.00,0.00,3.90,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,13.70
Scheurebe ,WHITE,0.00,0.00,1.40,13.10,0.00,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,17.40
Semillon ,WHITE,55.40,189.60,470.90,885.90,0.90,104.90,50.10,38.40,122.70,60.10,1924.50,0.00,1329.20,0.00,2.00,3.60,1276.00,6514.20,6520.80
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,6.00
Sylvaner ,WHITE,0.00,0.00,13.60,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.60,11.40
Symphony ,WHITE,1.70,0.00,0.00,0.00,143.50,0.00,0.00,0.00,44.30,58.00,2547.70,14134.00,5499.00,2474.90,0.00,0.00,1298.60,26201.70,20893.20
Tocai Friulano ,WHITE,30.00,0.00,28.10,7.20,0.00,0.00,38.10,32.10,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.80,41.10
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.20,0.00,31.70,0.00,0.00,0.00,0.00,0.00,0.00,35.20,18.60
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1046.00,21935.00,0.00,0.00,0.00,0.00,22981.00,25757.50
