Region,RED,WHITE,TOTAL,PERCENT,YEAR
15,257.6,58.8,316.4,0.007389616,2018
16,3541.1,1033.1,4574.2,0.106831793,2018
17,56267.7,131357.4,187625.1,4.382039666,2018
2,28546.8,17879,46425.8,1.084288281,2018
3,163575.2,112401.7,275976.9,6.445522068,2018
4,137335.2,47237.8,184573,4.310756968,2018
5,11459.8,12510.1,23969.9,0.559824099,2018
6,23510.7,10755,34265.7,0.800285551,2018
7,149791.6,148883,298674.6,6.97563356,2018
8,186223.8,59288.6,245512.4,5.734014666,2018
9,34542.8,34687.5,69230.3,1.616894118,2018
1,38906,28832.1,67738.1,1.728389209,2019
10,17821.4,2508.3,20329.7,0.518727778,2019
11,518537.9,256181.7,774719.6,19.7675606,2019
12,145625.6,165626.7,311252.3,7.941839475,2019
13,604975.3,664763.3,1269738.6,32.39834737,2019
14,138301,135692.5,273993.5,6.991152818,2019
15,624.4,87,711.4,0.018151913,2019
16,5636.4,1776.8,7413.2,0.189153444,2019
17,50920.1,128884.7,179804.8,4.587856406,2019
2,27507.3,19738.4,47245.7,1.205510016,2019
3,135051.7,94740.1,229791.8,5.86331278,2019
4,121100.6,38620.7,159721.3,4.075410609,2019
5,11925.5,8519.5,20445,0.521669745,2019
6,20543.5,7023.6,27567.1,0.703395551,2019
7,122342.3,118138.8,240481.1,6.13605841,2019
8,159394.2,53035.5,212429.7,5.420305576,2019
9,37848.2,37915.1,75763.3,1.933158299,2019
1,28100.8,26978.5,55079.3,1.614809031,2020
10,15547,2287.8,17834.8,0.52287876,2020
11,465327.3,223028.4,688355.7,20.18113884,2020
12,135170.3,152640.2,287810.5,8.437997479,2020
13,563430.9,634149.7,1197580.6,35.11054004,2020
14,95950.3,123042.3,218992.6,6.420401642,2020
15,344.9,35.6,380.5,0.011155458,2020
16,3120.1,1105.4,4225.5,0.123882757,2020
17,49368.1,121043.6,170411.7,4.996112008,2020
2,22054.2,17465.9,39520.1,1.158646068,2020
3,82910.2,65174.9,148085.1,4.341543135,2020
4,71221.1,28086.8,99307.9,2.911498399,2020
5,11588.5,10799.3,22387.8,0.656363128,2020
6,17383.6,6734.8,24118.4,0.707100674,2020
7,83461.9,104925.6,188387.5,5.523124591,2020
8,146015.8,45436.8,191452.6,5.612986865,2020
9,29256.9,27698.8,56955.7,1.669821125,2020
