Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2014 State Total,2013 State Total
Albarino ,WHITE,4.00,2.60,39.50,85.50,100.00,1.10,484.80,386.10,23.60,18.50,129.70,0.00,23.80,0.00,0.00,4.50,448.40,1752.10,1478.80
Arneis ,WHITE,22.70,0.00,86.80,6.80,0.00,0.00,17.00,13.80,6.10,2.10,0.00,0.00,0.00,0.00,0.00,35.60,0.00,190.90,203.30
Burger * ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3060.20,2081.70,18745.50,1476.40,0.00,0.00,1410.50,26774.30,34725.50
Chardonnay * ,WHITE,21134.00,2134.20,87380.50,30570.90,6294.30,7221.90,124956.70,46010.90,19004.60,983.10,128081.20,66006.70,94745.80,33641.90,26.60,244.00,49591.50,718028.80,758381.60
Chenin Blanc ,WHITE,119.60,0.00,426.00,59.20,773.30,0.00,1149.80,731.70,177.20,7.80,535.30,2639.80,20508.20,2991.70,0.00,2.60,12961.40,43083.60,53449.80
Cortese ,WHITE,5.20,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,14.80,17.00
Emerald Riesling ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.90,0.00,0.00,0.00,184.90,355.20
Fiano ,WHITE,0.00,0.00,10.50,0.40,0.00,0.00,0.00,3.80,6.50,6.90,0.00,0.00,0.00,0.00,0.00,0.30,9.40,37.80,48.10
Flora ,WHITE,2.70,0.00,0.00,24.40,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,36.50
Folle Blanche ,WHITE,0.00,0.00,24.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30,20.60
French Colombard ,WHITE,124.50,0.00,166.80,0.00,86.10,1.00,0.00,0.00,58.50,743.50,2952.60,9934.70,255982.90,38210.40,0.00,0.00,0.00,308261.00,319818.50
Gewurztraminer ,WHITE,563.90,421.80,443.40,22.90,463.50,4.60,6965.90,707.90,8.60,8.60,117.10,668.50,0.00,0.00,0.00,52.50,4523.20,14972.40,15846.20
Gray Riesling * ,WHITE,0.00,0.00,21.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.60,99.70
Grenache Blanc ,WHITE,0.00,4.30,36.50,32.00,13.10,4.00,70.40,765.40,28.60,36.10,40.30,0.00,2.80,0.00,0.00,28.90,26.00,1088.40,997.60
Gruner Veltliner ,WHITE,0.00,0.00,40.10,14.40,0.00,7.30,1214.40,139.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.70,1492.80,910.80
Kerner ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,0.00,0.00,0.00,0.00,0.00,7.60,4.70
Malvasia Bianca ,WHITE,0.00,0.00,2.90,7.60,0.00,40.40,1027.00,124.10,1.00,67.80,1281.40,3493.90,980.50,0.00,0.00,6.60,0.00,7033.20,8867.80
Marsanne ,WHITE,19.90,5.30,41.00,74.50,0.00,1.10,112.50,160.80,1.30,39.40,162.80,0.00,15.90,0.00,0.00,7.40,0.00,641.90,818.60
Melon ,WHITE,0.00,0.00,13.60,0.00,0.00,0.00,0.00,3.10,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,19.90
Moscato Gaillo * ,WHITE,0.00,0.00,5.70,0.00,0.00,0.00,0.00,1.40,0.70,2.40,19.30,0.00,3.30,0.00,0.00,0.00,0.00,32.80,91.50
Muscat Blanc * ,WHITE,239.50,357.80,99.80,1252.40,171.30,25.50,1489.80,1048.70,171.10,60.00,4153.90,4344.90,11097.10,20328.90,0.00,215.00,459.80,45515.50,51551.00
Muscat Orange ,WHITE,55.30,15.00,0.00,4.40,212.00,19.80,83.80,177.00,226.00,29.90,536.00,995.30,766.20,0.00,0.00,5.50,0.00,3126.20,3357.90
Muscat of Alexandria ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,3685.60,3.00,452.50,7618.20,106812.10,39939.40,4.60,5.50,0.00,158521.40,125514.70
Palomino * ,WHITE,0.00,0.00,4.10,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,747.60,0.00,0.00,18.20,0.00,786.40,832.30
Picpoul Blanc ,WHITE,2.60,0.00,5.20,1.50,0.00,1.60,12.50,47.80,3.60,1.30,2.00,0.00,0.00,0.00,0.00,3.50,0.00,81.60,62.10
Pinot Blanc ,WHITE,80.40,16.90,262.30,80.50,0.00,2.80,849.60,184.30,0.00,3.00,0.00,1.00,36.60,0.00,0.00,0.00,0.00,1517.40,1700.10
Pinot Gris * ,WHITE,421.10,509.60,2269.70,609.60,3438.80,1131.60,9342.10,3446.60,2109.40,88.00,44623.70,37153.20,37114.00,25823.40,1.50,107.90,13747.80,181938.00,178887.00
Ribolla Gialla * ,WHITE,0.00,0.00,7.30,18.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.80,32.30
Roussanne ,WHITE,75.00,74.30,81.70,60.50,0.00,14.90,105.90,541.40,9.60,90.30,57.60,0.00,9.40,0.00,0.00,73.50,0.00,1194.10,1448.50
Sauvignon Blanc ,WHITE,3435.20,11966.60,17540.60,15111.10,816.40,1456.70,10077.10,7451.60,954.80,575.40,16506.40,6981.00,1408.20,3414.20,6.50,127.70,12590.90,110420.40,127678.50
Sauvignon Musque ,WHITE,0.50,144.00,600.60,382.00,19.70,15.70,37.60,4.10,0.20,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,1205.30,1135.70
Sauvignon Vert * ,WHITE,0.00,0.00,12.60,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,25.30
Scheurebe ,WHITE,0.00,0.00,0.00,11.30,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,16.50
Semillon ,WHITE,63.00,238.20,556.10,2653.70,0.00,95.10,47.10,31.80,120.20,37.80,1244.00,0.90,830.60,0.00,0.00,4.50,736.40,6659.40,6430.30
St. Emilion * ,WHITE,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.20,4.40,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.80,14.30
Sylvaner ,WHITE,0.00,0.00,13.40,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,30.10
