Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2014 State Total,2013 State Total
Symphony ,WHITE,3.50,0.00,0.00,0.00,125.00,0.00,0.00,0.00,187.80,51.40,2296.30,15515.10,10074.60,1065.60,0.00,0.50,1246.30,30566.10,36713.00
Tocai Friulano ,WHITE,37.60,0.00,3.50,10.80,0.00,0.00,31.10,64.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,117.50
Torrontes ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,29.80,0.00,0.00,0.00,0.00,0.00,0.00,31.70,37.80
Triplett Blanc ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19509.70,0.00,0.00,0.00,0.00,19509.70,23140.30
Verdelho ,WHITE,0.00,0.00,1.20,2.10,37.10,11.30,2.10,55.20,77.80,45.40,1242.00,0.00,1.70,0.00,0.00,6.80,125.00,1607.70,2065.90
Vermentino * ,WHITE,0.00,2.30,72.60,5.70,0.00,0.00,4.20,64.90,44.90,31.30,631.80,0.00,0.00,0.00,0.00,44.90,0.00,902.60,436.10
Vernaccia ,WHITE,0.00,0.00,16.60,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,28.30
Viognier ,WHITE,415.80,203.00,967.60,609.90,255.80,120.10,1067.60,2646.90,516.90,343.70,10365.80,4972.20,383.70,1.00,8.60,215.70,1602.10,24696.40,28156.60
White Riesling * ,WHITE,364.70,364.60,283.90,372.10,251.10,4.80,11829.50,1473.90,10.10,35.70,4158.60,12467.30,937.10,0.00,0.00,138.60,3824.70,36516.70,37843.80
Other White  1/ ,WHITE,8.60,6.70,75.90,20.00,0.00,21.60,70.80,27.60,28.70,18.30,1868.80,170.10,171.40,3201.30,0.00,30.60,24.70,5745.10,5344.70
Aglianico ,RED,1.70,0.30,19.70,3.40,0.00,0.00,0.00,32.50,17.20,26.60,2.40,33.40,1.20,0.00,0.00,22.70,7.00,168.10,126.50
Aleatico ,RED,0.00,0.00,19.30,0.40,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,24.10,35.60
Alicante Bouschet * ,RED,0.00,0.00,131.00,2.90,0.00,54.00,8.90,38.80,0.40,58.80,2251.20,1337.30,3096.30,13.30,4.30,12.50,86.10,7095.80,7912.30
Alvarelhao ,RED,0.00,0.00,0.80,0.00,0.00,0.00,0.00,11.60,0.00,2.80,1.10,1.10,0.00,0.00,0.00,0.00,0.00,17.40,33.50
Arinarnoa ,RED,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,332.90,0.00,0.00,0.00,0.00,333.30,435.30
Barbera ,RED,266.80,102.50,245.40,47.40,1.40,80.10,139.10,358.10,32.60,1288.20,1451.30,711.80,39544.10,293.30,1.00,98.70,30.30,44692.10,55309.30
Blaufraenkisch * ,RED,0.00,0.00,2.30,0.00,0.00,0.00,0.00,47.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.60,55.50
Cabernet Franc ,RED,65.30,472.50,1913.90,3664.20,89.10,339.90,612.90,1595.10,28.20,458.00,2904.00,0.00,163.00,290.10,11.20,229.70,93.90,12931.00,13938.30
Cabernet Sauvignon ,RED,8958.10,14025.40,45772.00,69529.80,1182.90,5159.90,31708.90,51836.60,5122.60,2421.70,138675.60,52327.80,63435.70,17247.60,52.60,674.30,2047.00,510178.50,524247.50
Carignane ,RED,1033.40,3.00,478.80,2158.70,53.80,357.60,6.50,51.80,0.00,28.00,1230.10,138.00,9243.90,1402.20,0.00,21.70,0.10,16207.60,15131.40
Carmenere ,RED,1.90,0.30,5.70,7.60,0.00,1.60,2.70,14.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,2.60,0.00,36.70,44.90
Carnelian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2853.60,898.10,0.00,0.00,0.00,3751.70,4798.30
Centurian ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.90,0.00,0.00,0.00,0.00,345.90,1127.80
Charbono ,RED,30.90,0.00,0.00,159.50,13.00,7.90,0.00,20.00,2.50,15.40,3.10,1.20,74.50,0.00,0.00,4.70,0.00,332.70,298.80
Ciliegiolo ,RED,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.40,0.00,0.00,0.00,0.00,0.00,107.60,2.70
Cinsaut * ,RED,0.00,0.10,26.50,2.70,0.00,37.30,34.60,84.00,0.00,22.50,104.00,0.00,0.00,77.20,0.00,61.20,8.50,458.60,412.20
Colorino ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,6.00,0.60
Counoise ,RED,17.50,6.70,9.60,1.50,0.00,11.40,0.20,107.90,1.50,7.70,0.00,0.00,1.00,0.00,0.00,8.50,0.00,173.50,170.80
Dolcetto ,RED,81.50,0.00,27.10,15.90,6.30,8.10,0.00,64.80,5.30,19.90,29.90,0.00,4.00,0.00,0.00,27.30,8.50,298.60,392.20
Dornfelder ,RED,0.00,0.00,27.70,0.00,0.00,0.00,3.10,7.10,0.00,0.00,434.30,1113.20,0.00,0.00,0.00,0.00,0.00,1585.40,1357.60
Durif ,RED,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.80,9.60,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11.90,18.50
Early Burgundy ,RED,0.00,0.00,0.00,71.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.70,1.50
Fer Servadou ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90
Freisa ,RED,0.00,0.00,5.30,0.00,0.00,0.00,0.00,4.70,0.00,7.60,0.00,6.50,0.00,0.00,0.00,0.00,0.00,24.10,16.60
Gamay (Napa) * ,RED,43.60,0.00,5.90,104.90,342.60,8.90,367.50,216.80,0.00,0.00,0.00,0.00,497.60,0.00,0.00,0.00,204.70,1792.50,1953.60
Gamay Noir Au Jus Blanc ,RED,0.00,0.00,1.90,0.00,2.50,0.00,0.00,0.00,0.00,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.80,28.20
Graciano ,RED,0.00,0.00,6.60,0.80,2.00,8.60,7.00,14.40,15.40,31.40,170.30,1.90,0.00,0.00,0.00,0.00,0.10,258.50,164.60
Grand Noir ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60
Grenache * ,RED,363.80,107.30,701.70,215.30,51.60,288.80,1095.30,3980.10,464.00,415.60,743.90,3360.30,39667.80,1602.60,37.90,162.20,9.30,53267.50,65800.00
Grignolino ,RED,0.00,0.00,0.00,29.30,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.50,21.90
Lagrein ,RED,0.00,0.00,17.10,4.70,0.00,0.00,0.00,187.80,0.00,2.20,0.00,0.00,76.50,0.00,0.00,0.00,0.00,288.30,279.80
Lambrusco ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.20,0.00,0.00,0.00,0.00,0.00,35.20,0.00
Malbec ,RED,257.40,536.70,2688.90,2518.70,92.10,290.40,2380.20,2051.80,1032.40,168.90,10716.10,2050.60,3517.50,5.20,3.50,89.70,29.90,28430.00,22764.50
Mataro * ,RED,17.20,104.80,144.70,28.40,121.90,841.50,123.40,1113.10,27.30,319.30,52.80,330.70,39.40,0.00,7.80,108.50,4.20,3385.00,3839.70
Merlot ,RED,5507.90,1386.60,16989.60,18922.50,1009.50,2245.90,34324.30,19131.00,3062.10,905.20,77427.80,31465.20,47931.60,13380.20,29.30,409.40,8172.10,282300.20,346195.40
Meunier * ,RED,9.80,0.00,607.60,301.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,918.60,1104.20
Mission ,RED,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.50,0.00,16.80,42.60,2.00,6838.90,0.00,6.80,0.40,0.00,6910.60,8772.20
Montepulciano ,RED,21.40,0.00,34.80,2.10,8.10,14.90,2.30,3.00,18.20,29.80,12.80,206.70,0.00,96.10,0.00,54.10,0.00,504.30,439.50
Muscat Hamburg * ,RED,0.00,0.00,3.70,2.20,0.70,4.50,1.00,4.90,0.20,22.70,88.40,261.00,347.50,0.00,0.00,0.00,0.00,736.80,655.80
Nebbiolo ,RED,19.60,1.00,17.60,17.50,0.00,27.90,0.00,217.20,9.00,40.20,0.00,0.00,181.90,0.00,0.00,6.60,9.20,547.70,598.60
Negrette * ,RED,0.00,0.00,0.00,0.00,0.00,0.20,28.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.30,31.80
Negroamaro ,RED,7.30,0.00,1.00,0.00,0.00,0.00,0.00,77.30,3.00,0.00,0.00,6.50,0.00,0.00,0.00,2.80,0.00,97.90,133.70
Nero D'Avola * ,RED,8.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,9.50,102.80,1.10,0.00,0.00,4.30,0.00,127.00,139.50
Peloursin ,RED,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00,0.00,0.00,6.20,4.60
Petit Verdot ,RED,105.90,251.80,1251.10,2856.90,172.50,417.30,1207.10,2494.80,1330.00,124.00,6647.30,2851.20,1146.70,5.00,4.70,50.90,24.60,20941.80,18245.50
Petite Sirah ,RED,2072.00,2138.60,2873.50,4002.50,664.00,2327.00,2112.20,7372.80,2276.60,809.30,26752.10,8116.10,1930.60,70.30,10.40,181.60,5102.20,68811.80,68137.30
Pfeffer Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,5.60,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.90,32.90
Pinot Noir ,RED,7566.10,194.50,47677.20,9578.60,5513.50,1807.20,62979.50,27494.20,1728.10,63.70,21631.10,21710.90,11224.50,9706.20,12.30,40.60,16822.90,245751.10,259897.40
Pinotage ,RED,21.20,0.00,19.90,1.00,0.00,2.00,0.00,0.00,0.00,9.40,50.10,0.00,0.00,0.00,0.00,3.00,8.50,115.10,98.90
Primitivo ,RED,189.20,49.80,162.80,48.40,0.00,21.70,84.20,435.40,8.50,258.10,37.00,165.60,9.00,0.60,0.00,26.30,21.90,1518.50,1895.70
Refosco * ,RED,0.00,0.00,2.40,4.20,0.00,3.30,0.00,44.40,0.00,4.10,379.10,0.00,0.00,0.00,0.00,1.70,0.00,439.20,594.10
Royalty ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.80,0.00,0.00,0.00,0.00,31.80,40.00
Rubired * ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,547.60,0.00,565.60,5127.20,184854.20,51053.10,0.00,5.40,0.00,242153.10,255640.10
Ruby Cabernet ,RED,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,0.90,0.00,650.40,2798.80,53530.10,11846.00,0.00,8.80,0.00,68845.80,78933.60
Sagrantino ,RED,0.00,0.00,2.30,1.60,14.00,0.00,0.00,3.50,0.00,3.30,0.00,16.10,0.00,0.00,0.00,1.90,0.00,42.70,28.80
Salvador ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,831.00,0.00,1.30,0.00,832.30,833.20
Sangiovese * ,RED,314.60,18.60,1211.90,540.10,58.10,124.90,266.20,672.40,25.50,474.20,1945.70,65.90,386.70,820.30,11.10,281.50,279.80,7497.50,8432.40
Segalin ,RED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.90,0.00,586.20,0.00,0.00,0.00,0.00,874.10,643.50
Souzao ,RED,8.00,3.80,0.70,0.00,0.00,6.30,28.60,24.70,0.10,23.10,278.40,0.00,201.40,0.00,0.00,0.00,0.00,575.10,659.20
St Laurent ,RED,0.00,0.00,6.40,7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,5.00
Syrah * ,RED,2474.70,988.40,4642.60,3484.70,319.40,697.90,9141.00,16842.80,3830.00,1670.40,23505.30,8833.20,35186.50,1644.30,27.50,464.10,545.10,114297.90,132567.80
Tannat ,RED,11.70,0.00,89.70,15.70,17.20,0.90,176.60,245.30,230.60,4.10,2107.20,1402.10,0.00,5.00,0.00,6.20,3.20,4315.50,4000.40
Tempranillo * ,RED,3.60,132.50,223.00,129.50,20.30,120.10,115.70,1490.10,569.80,372.60,950.30,38.60,6569.40,195.70,5.20,160.10,142.10,11238.60,11758.80
Teroldego ,RED,0.00,0.00,2.20,0.00,0.00,94.90,54.30,73.00,11.70,16.60,340.80,20.50,0.20,0.00,0.00,0.00,32.40,646.60,829.40
Tinta Barroca ,RED,3.80,0.00,0.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,8.70,0.00,0.00,0.00,0.00,14.60,13.30
Tinta Cao ,RED,3.30,1.00,13.60,1.40,0.00,3.10,5.70,30.90,0.10,22.00,12.70,6.20,345.70,0.00,0.00,5.00,0.00,450.70,617.30
Tinta Madeira ,RED,0.00,1.00,0.30,0.00,0.00,0.00,0.00,7.30,0.20,0.00,0.00,0.00,136.70,0.00,0.00,0.00,0.00,145.50,158.50
Touriga Francesca ,RED,1.70,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,0.00,1.80,7.60,0.00,0.00,0.00,0.00,0.00,14.20,14.10
Touriga Nacional * ,RED,13.20,15.10,5.20,288.80,0.00,33.30,14.10,60.30,0.10,50.10,1403.20,18.10,366.90,0.00,0.00,21.70,0.00,2290.10,2646.20
Trousseau * ,RED,1.40,7.40,35.60,0.00,0.00,0.00,5.20,5.80,0.00,4.60,16.50,0.00,0.00,0.00,0.00,0.00,0.00,76.50,52.20
Zinfandel ,RED,5242.40,1656.00,15597.20,4602.30,455.70,2437.00,358.40,8080.70,7446.10,6586.50,125126.20,16589.10,126538.20,31089.80,58.10,186.00,3548.80,355598.50,469259.10
Other Red  1/ ,RED,14.80,0.30,294.30,116.50,3.30,49.10,26.50,95.40,2.50,12.90,578.50,609.50,7317.70,2938.40,10.00,5.50,69.70,12144.90,22223.00
