Type and Variety,COLOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2013 State Total,2012 State Total
Albarino ,WHITE,3.50,2.40,33.90,56.60,31.50,0.00,420.60,400.10,30.90,4.50,58.50,4.00,22.20,0.00,0.00,5.80,403.30,1477.80,1378.80
Arneis ,WHITE,27.50,0.00,125.80,1.50,0.00,0.00,19.60,11.40,1.10,0.00,0.00,0.00,0.00,0.00,0.00,16.40,0.00,203.30,216.40
Burger * ,WHITE,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3666.80,2536.60,25326.80,1716.30,0.00,0.00,1479.00,34725.50,35263.50
Chardonnay * ,WHITE,28192.70,2337.60,87883.50,31227.60,5391.10,8646.10,116539.80,55399.50,20671.80,661.60,155876.80,60610.20,97507.00,39796.40,36.50,248.30,47161.60,758188.10,735814.30
Chenin Blanc ,WHITE,162.50,0.00,27.40,108.20,1515.00,0.00,985.10,1073.60,157.60,9.20,2479.00,2690.30,27205.60,4973.60,0.00,7.10,12053.80,53448.00,58080.10
Cortese ,WHITE,5.40,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,17.00,16.00
Emerald Riesling ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.20,0.00,0.00,0.00,355.20,665.00
Fiano ,WHITE,0.00,0.00,10.30,0.40,1.90,13.70,0.00,1.60,7.20,8.20,0.00,0.00,0.00,0.00,0.00,0.00,4.80,48.10,30.40
Flora ,WHITE,0.50,0.00,0.00,32.90,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.50,32.90
Folle Blanche ,WHITE,0.00,0.00,20.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,18.20
French Colombard ,WHITE,114.20,0.00,188.90,0.00,66.30,18.10,0.00,0.00,138.80,0.00,3273.30,11653.60,267664.20,36701.10,0.00,0.00,0.00,319818.50,311611.50
Gewurztraminer ,WHITE,1041.70,614.70,571.90,31.60,210.10,180.60,6847.90,1355.10,7.50,8.40,160.00,899.00,0.00,0.00,0.00,64.40,3853.30,15846.20,16840.90
Gray Riesling * ,WHITE,0.00,0.00,48.30,0.00,0.50,0.00,0.00,0.00,0.00,0.00,48.60,0.00,0.00,0.00,0.00,0.00,0.00,97.40,79.50
Grenache Blanc ,WHITE,1.80,6.00,41.60,32.20,22.80,8.30,47.30,690.60,14.60,27.30,83.50,0.00,1.90,0.00,0.00,19.70,0.00,997.60,1162.80
Gruner Veltliner ,WHITE,0.00,0.00,10.80,19.10,0.00,3.60,670.50,130.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.50,910.80,555.30
Kerner ,WHITE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,4.70,7.30
Malvasia Bianca ,WHITE,0.00,0.00,0.00,10.70,12.00,32.40,639.10,197.00,1.50,43.60,1270.50,5301.10,1353.50,0.00,0.00,6.40,0.00,8867.80,7127.60
Marsanne ,WHITE,26.20,6.30,67.00,70.90,0.00,6.90,129.60,247.80,1.30,55.10,187.70,0.00,15.30,0.00,0.00,3.90,0.00,818.00,790.50
Melon ,WHITE,0.00,0.00,16.90,0.00,0.00,0.00,0.00,2.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.90,19.50
Moscato Gaillo * ,WHITE,0.00,0.00,4.20,0.00,0.00,0.00,0.00,3.60,1.20,2.80,73.80,0.00,0.00,0.00,0.00,5.90,0.00,91.50,83.50
Muscat Blanc * ,WHITE,305.60,488.00,106.20,471.10,92.70,14.00,1223.10,1407.60,3.00,81.60,3204.50,3606.40,11373.80,28487.80,2.90,178.30,500.90,51547.50,36649.40
Muscat Orange ,WHITE,71.80,15.30,0.00,7.30,102.60,27.60,55.80,180.90,35.50,24.80,1117.10,939.10,769.30,0.00,0.00,5.80,5.00,3357.90,2460.80
Muscat of Alexandria ,WHITE,0.00,0.00,1.90,0.00,0.00,16.40,0.00,0.00,4262.50,97.00,402.20,5360.40,79657.60,35693.70,0.80,10.80,10.30,125513.60,78417.60
Palomino * ,WHITE,0.00,0.00,3.70,0.00,0.00,14.60,0.00,0.00,0.00,0.00,0.00,0.00,794.60,0.00,1.00,18.40,0.00,832.30,1251.10
Picpoul Blanc ,WHITE,0.70,0.00,4.90,1.30,0.00,0.60,12.80,37.80,0.30,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.10,60.80
Pinot Blanc ,WHITE,110.80,17.60,323.60,79.70,0.00,16.70,909.60,228.60,0.00,4.50,0.00,0.00,7.20,0.00,0.00,0.00,0.00,1698.30,1798.00
Pinot Gris * ,WHITE,599.80,663.00,2789.20,676.80,2998.00,1088.00,8122.60,3654.30,3107.80,156.90,49064.10,33656.50,32281.40,24357.20,1.80,104.00,15565.30,178886.70,195452.70
Ribolla Gialla * ,WHITE,0.00,0.00,4.90,26.80,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.30,26.30
Roussanne ,WHITE,109.90,71.00,93.60,71.60,0.00,18.30,59.80,725.00,11.90,108.80,82.70,0.00,8.10,0.00,0.00,86.40,0.00,1447.10,1277.00
